HocoNum,HighSpeed,population
130560,1,34353
130561,0,7473
130561,1,2085
130565,1,3692
130567,0,14101
130569,0,61705
130570,0,22512
130574,1,3673
130576,1,63923
130578,0,26430
130578,1,109212
130580,0,5992
130581,0,6363
130583,0,7592
130583,1,7397
130584,0,44276
130584,1,6635
130586,0,6769
130586,1,57773
130587,0,1374623
130588,0,14554
130588,1,307
130589,0,202633
130590,0,7379
130591,0,76831
130591,1,381010
130592,0,2872
130594,0,87369
130595,0,585833
130595,1,687829
130596,1,4208
130597,0,26711
130598,0,30371
130601,0,392
130602,0,19893
130603,0,3318
130604,0,2895
130605,0,31424
130606,0,199480
130606,1,80532
130607,0,18338
130609,0,959
130609,1,5446
130610,0,1719
130612,0,22532
130612,1,13200
130613,0,1917
130614,0,41097
130616,0,6994
130617,0,24476
130617,1,77825
130619,0,80777
130620,0,58180
130620,1,259587
130621,0,10052
130622,0,1073
130623,0,71471
130623,1,142765
130624,0,178530
130624,1,5432
130626,0,1381
130630,0,651
130630,1,9412
130631,0,827
130631,1,2685
130634,0,22768
130641,1,7244
130645,0,5088
130647,0,3101
130648,0,18975
130651,0,9696
130655,0,88368
130655,1,1776
130657,0,2460
130657,1,3856
130662,0,38513
130663,0,253383
130665,0,17513
130667,0,22075
130668,0,10391
130673,0,51392
130674,0,2201
130677,0,5273
130678,0,3172
130679,0,1096
130681,0,3785
130682,1,6777
130683,0,8154
130684,0,446459
130685,0,90592
130686,0,7060
130686,1,8248
130690,0,1095
130691,1,1616
130692,0,53250
130692,1,10768
130693,0,3145
130695,0,1722
130696,0,6137
130696,1,1341
130697,0,57051
130697,1,12899
130699,0,186
130705,0,16369
130707,0,29841
130708,0,4597
130709,0,3083
130710,0,2095
130711,0,1344
130712,0,7144
130714,0,7812
130714,1,4473
130718,0,4447
130721,0,20396
130721,1,7078
130724,0,1269
130725,1,7287
130726,0,2758
130726,1,1588
130728,0,18858
130732,1,3685
130733,0,34
130733,1,7684
130734,0,18525
130735,0,327
130736,0,4888
130742,0,112427
130743,0,4488
130743,1,783
130744,0,1507
130745,0,30728
130746,0,23610
130747,0,4457
130748,0,17897
130749,0,36560
130754,0,9589
130754,1,10665
130756,0,700
130757,0,808
130757,1,46578
130759,0,3955
130762,0,16408
130764,1,12351
130766,0,2119
130767,0,4055
130768,0,4227
130768,1,5328
130769,0,27386
130771,0,2393
130772,0,2852
130774,0,11472
130774,1,21711
130777,0,1651
130778,0,2288
130778,1,9867
130780,0,13687
130781,0,28778
130782,0,16272
130782,1,2671
130783,0,16637
130783,1,45
130784,0,7704
130785,0,14705
130786,0,44998
130786,1,10669
130787,0,1814
130788,0,169931
130790,0,681
130791,0,175252
130791,1,23806
130794,0,36050
130795,0,64045
130796,0,2433
130797,0,5965
130798,0,9340
130798,1,5
130799,0,44098
130802,0,938
130803,1,4195
130804,0,252929
130804,1,7257991
130805,1,7031
130808,0,39065
130809,0,12974
130810,0,3507
130814,0,159520
130814,1,2918
130817,0,328199
130819,0,9997
130819,1,4606
130821,1,1312111
130825,0,9031
130825,1,200
130826,0,23230
130826,1,42351
130827,0,3302
130828,1,13026
130829,0,10259
130831,0,14858
130833,0,192977
130834,0,522850
130837,0,1881
130838,0,142319
130838,1,31879
130839,0,3522
130844,0,15802
130845,0,6355
130846,0,4244
130847,0,11574
130849,0,7871
130850,0,530
130850,1,16577
130851,0,4044
130852,0,3252
130853,0,14082
130854,0,6976
130856,1,6653
130860,1,7612
130861,0,5629
130862,0,25820
130865,1,36796
130868,0,1401
130872,0,161769
130872,1,23460
130874,0,3200
130875,0,7513
130877,0,4871
130877,1,53242
130878,0,14498
130880,0,11204
130882,0,9738
130882,1,7710
130885,0,5306
130885,1,25764
130886,0,460994
130887,0,133731
130889,0,12432
130890,0,39830
130890,1,16831
130901,0,2927
130902,1,17003
130903,0,1294
130903,1,62304
130904,0,68823
130904,1,7954
130905,0,18944
130906,0,93756
130908,0,1873
130914,0,12957
130919,0,47385
130920,0,56126
130920,1,2923
130921,0,338999
130925,0,16200
130925,1,12298
130927,0,179270
130929,0,6445
130929,1,54744
130930,0,1671
130937,0,1584483
130937,1,3536
130938,0,19692
130938,1,2174
130939,1,5173
130940,0,18826
130941,0,17205
130943,0,18143
130943,1,494
130944,0,77
130945,0,3428
130949,0,75453
130949,1,231954
130950,0,3390
130950,1,5005
130953,0,29238
130955,0,2889
130956,0,4843
130962,0,2628
130963,0,1875
130964,0,2381
130967,0,361891
130968,0,84032
130969,1,3674
130973,0,8207
130974,0,4421
130976,0,11110
130977,0,1567
130979,0,488
130982,0,301137
130982,1,1430
130983,0,749
130986,0,179799
130986,1,7665
130988,0,42210
130988,1,88971
130989,0,1377
130989,1,4037
130993,0,57503
131003,0,569
131005,0,13638
131005,1,42892
131006,0,9035
131007,0,34986
131007,1,13205
131008,0,822
131008,1,6050
131009,0,29246
131010,0,8510
131011,0,9575
131013,0,3523
131014,0,15528
131014,1,73521
131016,0,3821768
131017,0,422388
131019,0,1675
131021,0,4137
131023,0,10700
131024,0,5751
131025,0,112330
131026,0,61
131026,1,2021477
131027,0,3393
131029,1,22856
131030,1,7103
131031,0,111053
131032,0,25287
131032,1,30437
131034,0,4246
131034,1,3249
131035,0,895
131036,0,25335
131037,0,4555
131038,0,12252
131039,0,13635
131041,1,43607
131042,0,4361
131043,0,90927
131043,1,8042
131044,0,33756
131045,0,195892
131045,1,1530
131046,0,22206
131046,1,1721
131047,0,887
131048,0,3327534
131049,0,2552
131050,0,203
131050,1,2104
131051,0,43404
131051,1,5135
131052,0,3121
131052,1,46553
131055,0,22154
131056,0,7970
131056,1,17699
131057,0,28104
131057,1,50
131060,0,5704
131060,1,10645
131066,0,2020
131071,0,2867
131072,0,8120
131072,1,1155
131073,0,16055
131074,0,186
131074,1,3060
131075,0,37038
131075,1,1266
131076,0,70254
131078,0,7756
131078,1,3270
131081,0,299088
131081,1,647258
131085,0,1251
131086,0,3216
131087,0,43038
131089,0,62634
131090,0,53872
131090,1,4122
131096,0,2483
131097,0,16588
131097,1,10178
131100,1,16229
131102,0,1811
131102,1,14328
131103,1,89631
131104,0,4754
131106,0,1884
131106,1,1217
131108,0,76949
131108,1,12669
131109,0,2885
131109,1,3499
131113,0,9616
131113,1,24082
131114,0,2014
131116,0,20659
131117,0,8685
131118,0,13200
131118,1,13178
131122,0,49562
131122,1,948
131123,0,2811
131124,0,44781
131125,0,51753
131125,1,366991
131126,0,11935
131127,0,13775
131128,0,11332
131129,0,39366
131130,0,1680
131131,0,8326
131131,1,14705
131135,0,778
131139,0,3058
131139,1,7539
131141,0,107781
131141,1,71361
131142,0,2738
131145,0,12550
131145,1,6927
131146,0,1697
131148,0,6208
131152,0,20826
131157,0,3320
131158,0,52161
131161,0,15298
131162,0,36327
131162,1,6513
131163,0,42568
131163,1,4954
131165,0,17208
131166,0,3107
131167,0,201
131167,1,200714
131168,1,4092
131169,0,800
131170,0,31626
131171,0,845
131172,0,1648
131173,0,41071
131175,0,24109
131175,1,15911
131176,0,9240
131177,0,26994
131177,1,1692
131179,0,6438
131179,1,49
131180,0,53244
131181,0,11121
131181,1,439618
131183,0,3139
131186,0,35733
131190,0,9489
131190,1,34499
131191,0,1010864
131194,0,3188
131195,0,7631
131197,0,24358
131199,0,19935
131199,1,59588
131204,0,9323
131204,1,7226
131206,0,33997
131206,1,4578
131207,0,111811
131208,0,18134
131214,1,2370
131216,0,34213
131216,1,54877
131218,0,15679
131219,0,67915
131219,1,11693
131221,0,2875
131221,1,10703
131222,0,35242
131222,1,20762
131223,0,6804
131225,0,19425
131226,0,323181
131226,1,6369
131230,0,15540
131230,1,2473
131231,0,1555
131232,0,6483
131232,1,14968
131233,0,148963
131234,0,8172
131239,1,11959
131240,0,2599
131241,0,3100
131242,0,6867
131243,0,1817
131243,1,1186
131245,0,7186
131246,0,32597
131246,1,36149
131247,0,3990
131248,0,2074
131249,0,18385
131250,0,5741
131252,0,61532
131255,0,24107
131257,0,20430
131259,0,18613
131259,1,328
131260,0,9287
131261,0,103
131265,0,171
131267,0,3879
131272,0,5860
131276,0,1799
131283,0,26520
131283,1,52498
131285,0,7557
131285,1,3847
131286,0,7429
131290,0,5869
131295,0,0
131296,0,1326
131296,1,22780
131299,0,6176
131302,0,30187
131302,1,1088878
131303,0,10068
131310,0,3934533
131310,1,1008406
131311,0,378464
131315,0,2049
131320,0,2179
131321,0,1458
131328,0,57578
131328,1,4794
131329,0,37784
131330,0,12554
131330,1,25144
131332,0,23323
131337,0,2489
131339,0,19032
131339,1,2358
131340,0,17776
131341,0,6128
131341,1,16564
131342,0,3190
131344,0,6404
131347,1,4523
131349,0,11137
131354,0,1525
131357,0,5528
131358,0,1452
131359,0,26162
131361,0,35608
131362,0,63074
131363,0,3013
131365,0,4531
131365,1,9256
131366,0,63627
131367,0,24146
131367,1,22601
131368,0,31223
131370,0,12834
131378,0,20753
131379,0,25496
131379,1,3164
131383,0,35314
131384,0,21035
131384,1,60385
131387,0,34328
131387,1,26416
131388,0,2116
131389,0,9083
131394,0,37267
131395,0,142415
131395,1,0
131396,0,50792
131396,1,22506
131397,0,13935
131397,1,6110
131400,0,55621
131400,1,782
131401,0,3051
131404,0,276470
131404,1,66
131407,0,1899
131407,1,21474
