HocoNum,TechType,HighSpeed,population,state
130068,DSL,0,23002,AL
130077,DSL,0,3150863,AL
130077,FTTH,0,12352,AL
130137,DOCSIS,0,3099,AL
130159,DOCSIS,0,379081,AL
130183,DOCSIS,0,111461,AL
130210,DSL,0,2615,AL
130228,DSL,0,663770,AL
130228,FTTH,0,5678,AL
130235,DOCSIS,0,1761454,AL
130258,DSL,0,43584,AL
130317,DOCSIS,1,812301,AL
130348,DOCSIS,0,40930,AL
130418,DSL,0,14635,AL
130471,DSL,0,4622,AL
130587,DSL,0,595257,AL
130587,FTTH,0,595257,AL
130587,Other,0,595257,AL
130597,DSL,0,26684,AL
130804,DOCSIS,0,56,AL
130804,DOCSIS,1,473106,AL
130844,DSL,0,16157,AL
130851,DSL,0,3863,AL
130851,FTTH,0,681,AL
130861,DSL,0,5119,AL
130861,FTTH,0,331,AL
130902,DSL,0,7487,AL
130902,FTTH,0,5415,AL
131038,DOCSIS,0,5590,AL
131038,DSL,0,6429,AL
131038,FTTH,0,613,AL
131038,Other,0,137,AL
131086,DSL,0,3216,AL
131086,FTTH,0,2150,AL
131132,DOCSIS,0,2897,AL
131132,DSL,0,7913,AL
131302,DSL,0,223,AL
131310,DSL,0,56426,AL
131310,FTTH,0,853,AL
131311,DSL,0,15437,AL
131311,FTTH,0,1115,AL
131352,DOCSIS,0,116424,AL
131413,DSL,0,77619,AL
131413,FTTH,0,4246,AL
131480,DOCSIS,0,624681,AL
131480,DSL,0,6079,AL
131513,DSL,0,21,AL
150292,DOCSIS,0,11034,AL
150296,DOCSIS,0,16811,AL
150296,DSL,0,54540,AL
160157,DOCSIS,0,18603,AL
170086,DOCSIS,0,985,AL
180057,DSL,0,61,AL
190308,DOCSIS,0,83932,AL
190341,Other,0,0,AL
190367,FTTH,0,2153,AL
190367,Other,0,38382,AL
190380,FTTH,1,104885,AL
230029,Other,0,19884,AL
230038,Other,0,329,AL
240085,DOCSIS,0,14570,AL
240085,FTTH,0,14570,AL
250020,Other,0,7123,AL
250035,Other,0,1284,AL
250035,Other,1,631,AL
250087,Other,0,964,AL
260000,DSL,0,7082,AL
260000,FTTH,0,19675,AL
260000,FTTH,1,57964,AL
260000,Other,0,749,AL
290028,FTTH,1,26430,AL
310035,Other,0,520,AL
320042,Other,0,19013,AL
320052,DSL,0,110,AL
320094,Other,0,2285,AL
320095,Other,0,4490,AL
320121,DSL,0,14635,AL
130011,FTTH,0,313,AK
130028,DSL,0,288760,AK
130029,DSL,0,12790,AK
130029,Other,0,9699,AK
130035,DOCSIS,0,0,AK
130035,FTTH,0,0,AK
130067,DSL,0,8139,AK
130077,Other,0,386,AK
130160,DSL,0,1739,AK
130275,DSL,0,13436,AK
130275,FTTH,0,13276,AK
130275,Other,0,28,AK
130349,DSL,0,6569,AK
130352,DSL,0,2109,AK
130471,DSL,0,10,AK
130534,DOCSIS,0,51359,AK
130534,DOCSIS,1,500049,AK
130534,DSL,0,13557,AK
130534,Other,0,26579,AK
130791,DSL,0,123763,AK
130791,FTTH,0,346,AK
130791,FTTH,1,8641,AK
130964,DOCSIS,0,2034,AK
130964,DSL,0,2381,AK
131226,DOCSIS,0,4376,AK
131226,DSL,0,18150,AK
140084,Other,0,12029,AK
150229,DSL,0,1539,AK
190019,Other,0,52506,AK
190281,DSL,0,3247,AK
260068,Other,0,474,AK
300020,Other,0,215582,AK
320078,Other,0,170,AK
130081,Other,0,82738,AZ
130103,DOCSIS,0,1326,AZ
130103,Other,0,51305,AZ
130183,DOCSIS,0,253534,AZ
130206,DSL,0,47,AZ
130206,FTTH,0,2984,AZ
130228,DSL,0,5312066,AZ
130228,FTTH,0,38708,AZ
130228,FTTH,1,28911,AZ
130258,DSL,0,213877,AZ
130258,FTTH,1,639,AZ
130317,DOCSIS,1,323253,AZ
130360,DOCSIS,0,17190,AZ
130360,DOCSIS,1,4199746,AZ
130418,DSL,0,81950,AZ
130509,FTTH,0,5909,AZ
130542,DSL,0,6118,AZ
130627,DSL,0,88582,AZ
130804,DOCSIS,0,3228,AZ
130804,DOCSIS,1,145394,AZ
130831,DSL,0,5487,AZ
130831,FTTH,0,4056,AZ
130986,DSL,0,64,AZ
130986,FTTH,0,64,AZ
131016,Other,0,1443916,AZ
131057,DSL,0,9440,AZ
131057,FTTH,0,383,AZ
131057,Other,0,588,AZ
131148,DSL,0,0,AZ
131148,FTTH,0,0,AZ
131191,Other,0,1010864,AZ
131208,Other,0,8165,AZ
131219,DSL,0,1863,AZ
131219,Other,0,498,AZ
131269,DOCSIS,0,18367,AZ
131269,DOCSIS,1,268033,AZ
131310,DOCSIS,0,267,AZ
131310,DSL,0,7994,AZ
131352,DOCSIS,0,162412,AZ
131357,DSL,0,7325,AZ
131357,FTTH,0,2080,AZ
131411,DSL,0,13421,AZ
131411,FTTH,0,17421,AZ
131411,Other,0,720,AZ
131413,DSL,0,26,AZ
131470,DOCSIS,0,25880,AZ
140018,DOCSIS,0,1989,AZ
140043,DSL,0,4986,AZ
150200,DSL,0,279,AZ
150200,FTTH,0,1241,AZ
150200,FTTH,1,7794,AZ
150295,DOCSIS,0,43018,AZ
170054,Other,0,1576,AZ
180057,DSL,0,22,AZ
190008,DSL,0,813,AZ
190008,FTTH,0,11,AZ
190155,Other,0,774,AZ
190192,DSL,0,23,AZ
190428,DSL,0,8350,AZ
190428,FTTH,0,5097,AZ
220013,Other,0,17283,AZ
230021,Other,0,114,AZ
240009,Other,0,90688,AZ
250009,Other,0,297020,AZ
260050,Other,0,125439,AZ
270101,Other,0,53487,AZ
270115,Other,0,798316,AZ
280026,DOCSIS,0,6178,AZ
280026,Other,0,6443,AZ
280035,Other,0,22042,AZ
290057,Other,0,3676,AZ
290083,Other,0,4724,AZ
300019,Other,0,31637,AZ
300063,Other,0,3023649,AZ
300069,Other,0,266,AZ
310014,Other,0,0,AZ
310084,Other,0,9239,AZ
320051,Other,0,21697,AZ
320117,Other,0,2,AZ
320121,DSL,0,81950,AZ
130069,DSL,0,14898,AR
130070,DSL,0,2480,AR
130070,FTTH,0,9086,AR
130077,DSL,0,1521232,AR
130077,FTTH,0,47245,AR
130183,DOCSIS,0,37753,AR
130224,DSL,0,8747,AR
130224,FTTH,1,0,AR
130228,DSL,0,529521,AR
130228,FTTH,0,10619,AR
130317,DOCSIS,1,371969,AR
130340,DOCSIS,0,60799,AR
130360,DOCSIS,1,578802,AR
130386,DSL,0,26346,AR
130386,FTTH,0,2467,AR
130427,DOCSIS,0,62871,AR
130427,DSL,0,21635,AR
130427,FTTH,1,8090,AR
130497,DOCSIS,0,137341,AR
130725,FTTH,1,4009,AR
130768,DSL,0,7366,AR
130768,FTTH,0,2461,AR
130772,DSL,0,2852,AR
130882,DSL,0,15554,AR
130882,FTTH,0,4537,AR
131108,DSL,0,1057,AR
131169,DSL,0,798,AR
131177,DSL,0,1307,AR
131214,DSL,0,7767,AR
131232,DSL,0,12999,AR
131232,FTTH,0,5840,AR
131232,Other,0,358,AR
131269,DOCSIS,0,43531,AR
131269,DOCSIS,1,416249,AR
131306,DOCSIS,0,12279,AR
131310,DSL,0,11091,AR
131310,Other,0,427,AR
131362,DSL,0,11722,AR
131413,DSL,0,232760,AR
131413,FTTH,0,182,AR
131518,DSL,0,22313,AR
131518,FTTH,0,1384,AR
150206,DOCSIS,0,43440,AR
150206,DOCSIS,1,4864,AR
150334,DOCSIS,0,240294,AR
180041,DOCSIS,0,28125,AR
180057,DSL,0,0,AR
190399,Other,0,142923,AR
210092,Other,0,94945,AR
220008,DOCSIS,0,915,AR
220078,DOCSIS,0,13,AR
230021,DOCSIS,0,32056,AR
230021,Other,0,31518,AR
230062,Other,0,199925,AR
230074,DSL,0,15955,AR
260019,Other,0,531,AR
260032,Other,0,268,AR
260056,Other,1,1294,AR
260063,Other,0,204,AR
270012,Other,0,23568,AR
270016,Other,0,1383,AR
270090,DSL,0,164406,AR
270090,Other,0,164406,AR
270096,Other,0,1345,AR
300059,DOCSIS,0,17268,AR
300059,FTTH,0,16630,AR
300079,Other,0,4003,AR
300184,DOCSIS,0,20331,AR
320090,Other,0,146,AR
130062,Other,0,402704,CA
130077,DSL,0,26457828,CA
130077,FTTH,0,309880,CA
130077,FTTH,1,18869,CA
130103,Other,0,18567,CA
130159,DOCSIS,0,664178,CA
130171,DSL,0,268,CA
130171,Other,0,152,CA
130189,DSL,0,8050,CA
130189,FTTH,0,1847,CA
130189,Other,0,3310,CA
130202,DOCSIS,0,0,CA
130228,DSL,0,29,CA
130235,DOCSIS,0,4328664,CA
130254,DSL,0,0,CA
130258,DSL,0,369588,CA
130258,FTTH,1,10080,CA
130317,DOCSIS,1,11822826,CA
130335,DSL,0,231317,CA
130335,FTTH,0,430712,CA
130360,DOCSIS,1,3214093,CA
130418,DSL,0,562654,CA
130471,DSL,0,101,CA
130509,FTTH,0,6871,CA
130804,DOCSIS,0,29222,CA
130804,DOCSIS,1,131920,CA
130967,Other,0,361891,CA
131057,DSL,0,15792,CA
131057,FTTH,0,2347,CA
131173,DSL,0,6311,CA
131173,FTTH,0,28956,CA
131173,Other,0,34730,CA
131186,DSL,0,35710,CA
131186,FTTH,0,2512,CA
131195,DSL,0,6000,CA
131195,FTTH,0,1639,CA
131207,Other,0,178097,CA
131269,DOCSIS,0,5431,CA
131269,DOCSIS,1,189584,CA
131310,DSL,0,9480,CA
131352,DOCSIS,0,1537085,CA
131352,DOCSIS,1,13078655,CA
131400,DSL,0,918,CA
131400,Other,0,54042,CA
131404,DOCSIS,0,24103,CA
131404,Other,0,18498,CA
131416,DSL,0,2359,CA
131421,Other,0,35209,CA
131425,DSL,0,5582117,CA
131425,FTTH,0,4753721,CA
131441,DOCSIS,0,12016,CA
131441,DSL,0,17074,CA
131441,FTTH,0,413,CA
131441,Other,0,23763,CA
131454,DOCSIS,0,1345,CA
131454,DOCSIS,1,952652,CA
131473,Other,0,3787,CA
131513,DSL,0,64724,CA
140048,Other,0,80,CA
150292,DOCSIS,0,41957,CA
160127,DSL,0,3657,CA
160127,Other,0,24575,CA
160141,Other,0,10629,CA
160157,DOCSIS,0,17807,CA
170098,DOCSIS,0,371,CA
180057,DSL,0,0,CA
190002,Other,0,181178,CA
190008,DOCSIS,0,2827,CA
190008,DSL,0,35,CA
190014,DSL,0,1292853,CA
190075,DOCSIS,0,3714,CA
190107,DSL,0,211725,CA
190123,Other,0,232659,CA
190155,Other,0,540,CA
190172,DOCSIS,0,16737,CA
190192,DSL,0,490,CA
190311,Other,0,1259999,CA
190425,DSL,0,3187300,CA
190425,FTTH,1,3353,CA
200020,Other,0,727860,CA
200041,DSL,0,486672,CA
220027,Other,0,0,CA
220058,Other,0,5213,CA
220075,Other,0,4809,CA
220082,Other,0,759,CA
230021,DOCSIS,0,125,CA
230021,Other,0,533,CA
240014,DOCSIS,0,13403,CA
240036,Other,0,2576,CA
240041,FTTH,1,3300,CA
240055,DOCSIS,0,1811,CA
240066,Other,0,119958,CA
250026,Other,0,44055,CA
260007,FTTH,1,1048,CA
260052,Other,0,328575,CA
270006,Other,0,80986,CA
270018,Other,0,6548,CA
270020,Other,0,172948,CA
270051,Other,0,15628,CA
270073,Other,0,37222,CA
280024,Other,0,237,CA
280026,DOCSIS,0,972,CA
280042,Other,0,83358,CA
280057,Other,0,470364,CA
280075,Other,0,623,CA
280078,DOCSIS,0,2985,CA
290052,Other,0,104,CA
290065,Other,0,618,CA
290088,Other,0,42191,CA
290108,Other,0,2231,CA
290114,Other,0,872,CA
290123,Other,0,579,CA
290128,Other,0,279,CA
300043,Other,0,3024653,CA
300079,Other,0,345850,CA
300095,Other,0,34482,CA
300117,Other,0,2659,CA
300129,Other,0,8603,CA
300136,Other,0,240234,CA
300173,Other,0,556,CA
300199,Other,0,1057360,CA
310005,DSL,0,508,CA
310027,Other,0,18091,CA
310065,Other,0,47329,CA
310067,Other,0,7348,CA
310084,Other,0,6523,CA
320031,Other,0,15,CA
320045,DOCSIS,0,64530,CA
320062,Other,0,11178,CA
320081,Other,0,4246,CA
320117,Other,0,244,CA
320121,DSL,0,562654,CA
