HocoNum,TechType,HighSpeed,population
130234,DSL,0,9248
130234,FTTH,0,15992
130234,Other,0,34744
130235,DOCSIS,0,26671194
130235,DOCSIS,1,1977281
130237,DOCSIS,0,16145
130238,DSL,0,8521
130238,FTTH,0,3563
130239,DSL,0,7603
130239,FTTH,1,10639
130239,Other,0,27536
130240,DSL,0,10108
130241,DOCSIS,0,12558
130241,DSL,0,12310
130242,DOCSIS,0,98973
130242,DSL,0,43323
130242,FTTH,0,15355
130243,DSL,0,5779
130244,DSL,0,25897
130244,FTTH,0,3566
130244,Other,0,52168
130245,DSL,0,70349
130250,DSL,0,3423
130250,FTTH,0,1275
130250,Other,0,1287
130251,DSL,0,6
130252,DSL,0,18932
130252,FTTH,0,13886
130254,DOCSIS,0,20338
130254,DSL,0,1444576
130254,FTTH,1,645501
130258,DSL,0,18480724
130258,FTTH,0,302212
130258,FTTH,1,1364583
130259,DSL,0,4181
130259,FTTH,0,6383
130263,DOCSIS,0,13310
130263,DSL,0,7907
130264,DOCSIS,0,18811
130264,DSL,0,61
130264,FTTH,0,19154
130265,DOCSIS,0,3301
130265,DSL,0,13095
130265,FTTH,0,305
130266,DOCSIS,0,10496
130266,DSL,0,16476
130266,FTTH,0,2417
130267,DSL,0,1198
130267,FTTH,0,5211
130268,DSL,0,5639
130269,DOCSIS,0,2325
130269,DSL,0,5756
130269,FTTH,0,6434
130270,DSL,0,4526
130271,DSL,0,22010
130271,FTTH,0,22010
130272,DOCSIS,0,10027
130274,DSL,0,422
130274,FTTH,0,214
130275,DSL,0,13436
130275,FTTH,0,13276
130275,Other,0,111
130278,DOCSIS,0,29309
130279,FTTH,0,4812
130279,Other,0,128306
130281,DOCSIS,0,30258
130282,DOCSIS,0,25674
130282,FTTH,0,25674
130283,FTTH,0,4851
130285,DSL,0,4626
130285,FTTH,0,4845
130285,Other,0,4626
130287,DSL,0,654
130288,DSL,0,2083
130288,FTTH,0,32748
130289,DOCSIS,0,10515
130289,DSL,0,10515
130290,DSL,0,6197
130290,FTTH,0,7299
130291,DOCSIS,0,2593
130291,DSL,0,3606
130292,DSL,0,251611
130299,DSL,0,1163
130299,FTTH,0,1067
130300,DSL,0,3334
130300,FTTH,1,20540
130302,FTTH,0,8807
130303,DOCSIS,0,7414
130305,FTTH,0,2430
130307,DSL,0,2953
130307,FTTH,0,1575
130307,Other,0,7887
130309,FTTH,0,142
130309,Other,0,117973
130310,FTTH,0,3328
130311,DSL,0,13473
130311,Other,0,24157
130312,DSL,0,2914
130312,FTTH,0,1012
130314,FTTH,0,8290
130315,DSL,0,17353
130315,Other,0,41876
130316,Other,0,269895
130317,DOCSIS,0,537977
130317,DOCSIS,1,108036076
130321,FTTH,0,6801
130322,DOCSIS,1,584
130324,Other,0,4155
130325,Other,0,3751
130326,DSL,0,5284
130326,Other,0,4583
130327,DSL,0,3634
130329,DSL,0,16696
130329,Other,0,39994
130331,Other,0,225717
130334,DOCSIS,0,73728
130334,DSL,0,3760
130334,FTTH,0,14376
130335,DOCSIS,0,300794
130335,DSL,0,850471
130335,FTTH,0,135883
130335,FTTH,1,545530
130337,DOCSIS,0,18326
130337,DSL,0,1154
130337,FTTH,0,35213
130337,Other,0,34521
130338,DSL,0,24501
130338,FTTH,0,31460
130338,Other,0,14185
130340,DOCSIS,0,60799
130343,DSL,0,9432
130344,DSL,0,5104
130344,Other,0,5104
130345,DSL,0,3911
130345,FTTH,0,1919
130346,DSL,0,5410
130346,Other,0,5410
130347,DSL,0,3241
130348,DOCSIS,0,40930
130349,DSL,0,6565
130352,DSL,0,1962
130353,DSL,0,2424
130353,FTTH,0,3043
130353,Other,0,1207
130360,DOCSIS,0,17190
130360,DOCSIS,1,20749195
130361,DSL,0,2832
130361,FTTH,0,2377
130362,DSL,0,6002
130362,FTTH,0,12369
130363,DSL,0,5363
130363,FTTH,0,10289
130364,DSL,0,30868
130364,FTTH,0,8874
130364,Other,0,3862
130366,DSL,0,19389
130366,FTTH,0,4131
130366,Other,0,215
130367,DOCSIS,0,522
130367,DSL,0,1201
130367,FTTH,0,1698
130368,DSL,0,802
130369,FTTH,0,1832
130370,DOCSIS,1,12594664
130374,DSL,0,2737
130374,Other,0,5091
130375,DSL,0,6918
130375,FTTH,0,1709
130378,DOCSIS,0,3403
130378,DSL,0,2920
130378,FTTH,0,4593
130378,Other,0,5684
130380,DSL,0,10873
130380,FTTH,0,3
130385,DOCSIS,0,26242
130385,DSL,0,20882
130385,FTTH,0,9093
130385,FTTH,1,371
130385,Other,0,28739
130386,DSL,0,26405
130386,FTTH,0,1849
130387,FTTH,0,24358
130387,Other,0,1166
130390,DSL,0,6235
130390,FTTH,1,11238
130390,Other,0,11238
130391,DOCSIS,0,11769
130391,DSL,0,5548
130393,DSL,0,14948
130393,FTTH,0,14948
130395,DSL,0,6574
130396,DSL,0,47018
130396,FTTH,0,5415
130398,DSL,0,5834
130398,FTTH,0,5834
130399,DSL,0,3219
130399,FTTH,0,5324
130400,DSL,0,1246
130400,FTTH,0,4390
130400,Other,0,12885
130401,DSL,0,33377
130401,FTTH,0,477
130401,Other,0,654
130402,Other,0,799
130405,FTTH,1,19270
130405,Other,0,34423
130410,DOCSIS,0,4904
130416,DOCSIS,0,10339
130416,DSL,0,10412
130416,FTTH,0,8712
130418,DSL,0,5030529
130419,DOCSIS,0,159
130419,FTTH,1,2533
130420,DSL,0,4877
130421,DSL,0,2061
130423,DOCSIS,0,13197
130423,DSL,0,22329
130423,FTTH,0,17290
130425,DSL,0,34230
130427,DOCSIS,0,118642
130427,DSL,0,77712
130427,DSL,1,12280
130429,DOCSIS,0,69886
130429,Other,0,5929
130431,DSL,0,485
130431,FTTH,0,384
130432,DOCSIS,0,54233
130432,DSL,0,33316
130432,FTTH,1,88667
130433,DSL,0,3682
130437,Other,0,6229
130437,Other,1,28
130439,DSL,0,10546
130440,DSL,0,77347
130444,DSL,0,10189
130445,DOCSIS,0,51201
130446,DOCSIS,0,13548
130448,DSL,0,5503
130448,Other,0,18415
130449,DSL,0,3594
130450,FTTH,0,4063
130453,DOCSIS,0,38534
130453,DSL,0,32084
130453,FTTH,1,23854
130454,FTTH,0,24467
130455,DSL,0,25161
130455,FTTH,0,6200
130455,FTTH,1,41652
130458,DSL,0,11025
130458,FTTH,0,14765
130458,FTTH,1,6913
130458,Other,0,92546
130459,DOCSIS,1,475548
130459,FTTH,1,475548
130460,DSL,0,2508
130464,DSL,0,38549
130464,Other,0,10354
130471,DOCSIS,0,110638
130471,DSL,0,3530666
130471,FTTH,0,138151
130471,FTTH,1,186782
130471,Other,0,11044
130472,FTTH,0,7686
130472,Other,0,9757
130473,DSL,0,4049
130473,FTTH,0,2871
130475,DSL,0,8516
130475,FTTH,1,8516
130475,Other,0,8516
130476,DOCSIS,0,1039
130476,DSL,0,5065
130476,FTTH,0,958
130477,DOCSIS,0,229
130477,DSL,0,6857
130477,FTTH,0,3532
130477,Other,0,659
130478,FTTH,0,1074
130479,DSL,0,7050
130479,FTTH,0,1128
130481,DSL,0,1213
130481,Other,0,70635
130482,DSL,0,4970
130482,FTTH,1,4970
130483,DSL,0,1088
130483,FTTH,0,5377
130484,DOCSIS,0,4951
130484,DSL,0,4951
130484,FTTH,0,11950
130485,DOCSIS,0,35465
130485,DSL,0,35465
130485,FTTH,0,35465
130485,Other,0,35465
130487,DSL,0,6802
130487,FTTH,0,1852
130488,DSL,0,1102
130489,DSL,0,718
130489,Other,0,3073
130490,DSL,0,191647
130490,FTTH,1,45434
130491,DOCSIS,0,130
130492,DSL,0,8220
130492,Other,0,54682
130494,DSL,0,299
130494,FTTH,0,15722
130494,FTTH,1,2103
130494,Other,0,675
130495,FTTH,0,503
130497,DOCSIS,0,380651
130497,DSL,0,26339
130497,FTTH,0,346
130500,DOCSIS,0,3177
130500,FTTH,0,70
130500,Other,0,160646
130502,DSL,0,2941
130502,FTTH,0,8918
130502,Other,0,15643
130503,DSL,0,1231
130507,DSL,0,2647
130507,FTTH,0,41717
130509,FTTH,0,14174
130511,DSL,0,1710
130511,Other,0,29769
130513,Other,0,115649
130514,DSL,0,1774
130514,FTTH,0,390
130520,DOCSIS,0,49612
130524,DSL,0,4537
130524,FTTH,0,105
130526,DSL,0,10190
130526,FTTH,0,12848
130527,DSL,0,5080
130527,FTTH,0,3282
130527,Other,0,73752
130528,FTTH,0,1331
130528,FTTH,1,1086
130528,Other,0,7005
130532,DSL,0,1553
130532,FTTH,0,610
130532,Other,0,4241
130534,DOCSIS,0,51147
130534,DOCSIS,1,501277
130534,DSL,0,13464
130534,Other,0,25722
130535,DSL,0,14351
130538,DSL,0,5408
130538,FTTH,0,3175
130539,DSL,0,4649
130539,FTTH,0,18126
130540,DOCSIS,0,27250
130542,DSL,0,5784
130543,DOCSIS,0,2761
130543,DSL,0,2746
130544,DSL,0,2664
130545,DSL,0,2504
130546,DOCSIS,0,2040
130546,DSL,0,2471
130546,FTTH,0,21524
130546,Other,0,137688
130548,DSL,0,34784
130550,DOCSIS,0,53080
130550,DSL,0,95628
130550,FTTH,0,33100
130551,DSL,0,2210
130551,FTTH,0,3365
130552,DSL,0,21283
130553,Other,0,147624
130555,FTTH,0,1134
130557,DSL,0,12606
130558,DSL,0,9834
130558,FTTH,0,9834
130559,DSL,0,809
130559,FTTH,0,15258
130559,Other,0,14909
130560,DSL,0,28999
130560,FTTH,0,24239
130561,DSL,0,6629
130561,FTTH,0,2091
130565,DSL,0,1221
130565,FTTH,0,1771
130567,Other,0,11504
130569,DOCSIS,0,23355
130569,DSL,0,48862
130569,FTTH,0,1272
130570,DSL,0,7492
130570,FTTH,0,3270
130570,Other,0,12280
130574,FTTH,0,3637
130575,Other,0,1773
130576,DOCSIS,1,63923
130578,DOCSIS,0,14998
130578,DSL,0,100743
130578,FTTH,1,102856
130580,DSL,0,5992
130581,DOCSIS,0,710
130581,DSL,0,954
130581,FTTH,0,5117
130581,Other,0,3541
130583,DSL,0,3332
130583,FTTH,0,5987
130583,Other,0,12496
130584,DSL,0,7105
130584,FTTH,0,1492
130584,Other,0,40736
130586,DSL,0,13509
130586,FTTH,1,41725
130586,Other,0,5456
130587,DSL,0,1374623
130587,FTTH,0,1371638
130587,Other,0,1371638
130588,DSL,0,10274
130588,FTTH,0,9539
130588,Other,0,5086
130588,Other,1,307
130589,DOCSIS,0,10999
130589,DSL,0,57523
130589,FTTH,0,34697
130590,DSL,0,2128
130590,Other,0,5251
130591,DOCSIS,0,590129
130592,FTTH,0,2756
130594,Other,0,328
130595,DSL,0,1192188
130595,FTTH,1,356699
130596,DSL,0,1834
130596,FTTH,0,56
130597,DSL,0,26684
130598,DSL,0,6269
130598,FTTH,0,11919
130598,Other,0,19726
130601,DSL,0,418
130602,DOCSIS,0,997
130602,DSL,0,14342
130602,FTTH,0,1877
130602,Other,0,59331
130603,FTTH,0,1667
130603,Other,0,3318
130604,DSL,0,2649
130605,DSL,0,1142
130605,FTTH,0,682
130605,Other,0,29761
130606,DOCSIS,1,37978
130606,FTTH,1,36808
130606,Other,0,178065
130607,DSL,0,15595
130607,FTTH,0,2743
130609,DSL,0,503
130609,FTTH,0,6245
130610,DSL,0,1719
130612,DSL,0,28631
130612,FTTH,0,5042
130613,DSL,0,1917
130614,DSL,0,8835
130614,Other,0,40863
130616,DOCSIS,0,434
130616,FTTH,0,6248
130617,DOCSIS,0,10404
130617,DOCSIS,1,26629
130617,DSL,0,35898
130617,FTTH,1,38621
130619,DSL,0,86620
