TechType,HighSpeed,population,state
DOCSIS,1,3165411,MN
DSL,0,4835503,MN
FTTH,0,300444,MN
FTTH,1,122691,MN
Other,0,4073885,MN
DOCSIS,0,957793,MS
DOCSIS,1,993722,MS
DSL,0,2582209,MS
FTTH,0,30777,MS
Other,0,39854,MS
DOCSIS,0,1587290,MO
DOCSIS,1,3070805,MO
DSL,0,5160354,MO
FTTH,0,184868,MO
FTTH,1,554301,MO
Other,0,3778019,MO
Other,1,20,MO
DOCSIS,0,639977,MT
DSL,0,874238,MT
FTTH,0,50834,MT
FTTH,1,11380,MT
Other,0,697357,MT
DOCSIS,0,786701,NE
DOCSIS,1,654249,NE
DSL,0,1549527,NE
FTTH,0,69632,NE
FTTH,1,217929,NE
Other,0,1680104,NE
DOCSIS,0,596345,NV
DOCSIS,1,1833394,NV
DSL,0,2459961,NV
FTTH,0,53886,NV
FTTH,1,171876,NV
Other,0,602391,NV
DOCSIS,0,305801,NH
DOCSIS,1,901564,NH
DSL,0,1261172,NH
FTTH,0,140968,NH
FTTH,1,212639,NH
Other,0,2947,NH
DOCSIS,0,187223,NJ
DOCSIS,1,8463215,NJ
DSL,0,7674631,NJ
FTTH,0,5439789,NJ
FTTH,1,3381,NJ
Other,0,258,NJ
Other,1,2759,NJ
DOCSIS,0,346704,NM
DOCSIS,1,1175046,NM
DSL,0,1736730,NM
FTTH,0,75962,NM
FTTH,1,7634,NM
Other,0,1699786,NM
Other,1,1,NM
DOCSIS,0,6176442,NY
DOCSIS,1,12757075,NY
DSL,0,17595813,NY
FTTH,0,9826276,NY
FTTH,1,904189,NY
Other,0,1399041,NY
Other,1,2649380,NY
DOCSIS,0,8193164,NC
DOCSIS,1,511811,NC
DSL,0,8921909,NC
DSL,1,780,NC
FTTH,0,280752,NC
FTTH,1,523650,NC
Other,0,2736467,NC
DOCSIS,0,131449,ND
DOCSIS,1,318744,ND
DSL,0,499481,ND
FTTH,0,130360,ND
FTTH,1,75474,ND
Other,0,212944,ND
DOCSIS,0,9661836,OH
DOCSIS,1,982331,OH
DSL,0,10522801,OH
FTTH,0,187956,OH
FTTH,1,551183,OH
Other,0,2748754,OH
DOCSIS,0,628065,OK
DOCSIS,1,2002763,OK
DSL,0,3025635,OK
DSL,1,24971,OK
FTTH,0,138920,OK
FTTH,1,10702,OK
Other,0,1901237,OK
Other,1,56,OK
DOCSIS,0,883575,OR
DOCSIS,1,2351114,OR
DSL,0,3493520,OR
FTTH,0,139538,OR
FTTH,1,737437,OR
Other,0,1265173,OR
DOCSIS,0,2487532,PA
DOCSIS,1,9288238,PA
DSL,0,10490111,PA
FTTH,0,4505024,PA
FTTH,1,1919615,PA
Other,0,609270,PA
DOCSIS,0,676,RI
DOCSIS,1,1023529,RI
DSL,0,872629,RI
FTTH,0,891276,RI
Other,0,161,RI
DOCSIS,0,3240810,SC
DOCSIS,1,678745,SC
DSL,0,4098376,SC
FTTH,0,277783,SC
FTTH,1,84055,SC
Other,0,222614,SC
DOCSIS,0,85805,SD
DOCSIS,1,480009,SD
DSL,0,644991,SD
FTTH,0,176698,SD
FTTH,1,2623,SD
Other,0,570224,SD
DOCSIS,0,1851114,TN
DOCSIS,1,3569717,TN
DSL,0,5739813,TN
FTTH,0,215547,TN
FTTH,1,673324,TN
Other,0,2386774,TN
Other,1,4978,TN
DOCSIS,0,12390930,TX
DOCSIS,1,9007653,TX
DSL,0,20233250,TX
FTTH,0,2259731,TX
FTTH,1,926001,TX
Other,0,15277018,TX
DOCSIS,0,273815,UT
DOCSIS,1,2170798,UT
DSL,0,2616420,UT
FTTH,0,68182,UT
FTTH,1,364692,UT
Other,0,2479350,UT
DOCSIS,0,64040,VT
DOCSIS,1,437939,VT
DSL,0,598829,VT
FTTH,0,16667,VT
FTTH,1,72007,VT
Other,0,73325,VT
DOCSIS,0,373579,VA
DOCSIS,1,6529748,VA
DSL,0,6420004,VA
FTTH,0,3596526,VA
FTTH,1,82481,VA
Other,0,757676,VA
DOCSIS,0,787901,WA
DOCSIS,1,5261205,WA
DSL,0,6246343,WA
DSL,1,26542,WA
FTTH,0,217320,WA
FTTH,1,959192,WA
Other,0,5049127,WA
Other,1,488,WA
DOCSIS,0,196755,WV
DOCSIS,1,1102218,WV
DSL,0,1222887,WV
FTTH,0,14048,WV
FTTH,1,26976,WV
Other,0,415214,WV
Other,1,307,WV
DOCSIS,0,4681025,WI
DOCSIS,1,92409,WI
DSL,0,4826658,WI
FTTH,0,192259,WI
FTTH,1,108050,WI
Other,0,3794173,WI
Other,1,163,WI
DOCSIS,0,402640,WY
DOCSIS,1,9574,WY
DSL,0,485935,WY
FTTH,0,53329,WY
FTTH,1,70,WY
Other,0,425549,WY
Other,1,34877,WY
