TechType,HighSpeed,population,state
DOCSIS,0,2239026,AL
DOCSIS,1,1474399,AL
DSL,0,4119214,AL
FTTH,0,828356,AL
FTTH,1,26519,AL
Other,0,668944,AL
Other,1,343,AL
DOCSIS,0,57773,AK
DOCSIS,1,501277,AK
DSL,0,494297,AK
FTTH,0,13937,AK
FTTH,1,8641,AK
Other,0,372467,AK
Other,1,115,AK
DOCSIS,0,669597,AZ
DOCSIS,1,4708447,AZ
DSL,0,5588792,AZ
FTTH,0,74179,AZ
FTTH,1,26444,AZ
Other,0,5088089,AZ
Other,1,0,AZ
DOCSIS,0,725191,AR
DOCSIS,1,1360096,AR
DSL,0,2386197,AR
DSL,1,12905,AR
FTTH,0,93469,AR
FTTH,1,3999,AR
Other,0,470637,AR
Other,1,114,AR
DOCSIS,0,5798401,CA
DOCSIS,1,29197757,CA
DSL,0,32630103,CA
FTTH,0,5152157,CA
FTTH,1,384324,CA
Other,0,10336867,CA
DOCSIS,0,497196,CO
DOCSIS,1,3794129,CO
DSL,0,4679604,CO
FTTH,0,108740,CO
FTTH,1,96033,CO
Other,0,3391362,CO
DOCSIS,0,466895,CT
DOCSIS,1,3053777,CT
DSL,0,3420482,CT
FTTH,0,38222,CT
FTTH,1,594,CT
DOCSIS,0,49833,DE
DOCSIS,1,810277,DE
DSL,0,652621,DE
FTTH,0,499241,DE
Other,0,96,DE
DOCSIS,1,590809,DC
DSL,0,569163,DC
FTTH,0,145219,DC
FTTH,1,255638,DC
Other,0,35601,DC
DOCSIS,0,538924,FL
DOCSIS,1,16118959,FL
DSL,0,16103898,FL
DSL,1,4097,FL
FTTH,0,2880516,FL
FTTH,1,138311,FL
Other,0,4572280,FL
Other,1,2048,FL
DOCSIS,0,1955850,GA
DOCSIS,1,6324626,GA
DSL,0,8911295,GA
FTTH,0,477514,GA
FTTH,1,52889,GA
Other,0,69796,GA
DOCSIS,0,1333635,HI
DSL,0,1196569,HI
FTTH,0,9045,HI
FTTH,1,356699,HI
Other,0,7299,HI
DOCSIS,0,1231068,ID
DOCSIS,1,18805,ID
DSL,0,1359171,ID
FTTH,0,143121,ID
FTTH,1,7781,ID
Other,0,1471873,ID
Other,1,0,ID
DOCSIS,0,1059470,IL
DOCSIS,1,10602111,IL
DSL,0,11695317,IL
FTTH,0,178400,IL
FTTH,1,490366,IL
Other,0,6894268,IL
Other,1,376036,IL
DOCSIS,0,832613,IN
DOCSIS,1,4438508,IN
DSL,0,5688882,IN
FTTH,0,581964,IN
FTTH,1,225188,IN
Other,0,3682189,IN
Other,1,5136,IN
DOCSIS,0,248812,IA
DOCSIS,1,2032868,IA
DSL,0,2584077,IA
FTTH,0,501085,IA
FTTH,1,112894,IA
Other,0,2236365,IA
DOCSIS,0,1001891,KS
DOCSIS,1,1255695,KS
DSL,0,2420721,KS
FTTH,0,191519,KS
FTTH,1,436614,KS
Other,0,2585977,KS
DOCSIS,0,3149586,KY
DOCSIS,1,335017,KY
DSL,0,3830734,KY
DSL,1,0,KY
FTTH,0,275730,KY
FTTH,1,171889,KY
Other,0,1476236,KY
Other,1,4,KY
DOCSIS,0,864259,LA
DOCSIS,1,2939043,LA
DSL,0,3952288,LA
FTTH,0,938682,LA
FTTH,1,203395,LA
Other,0,1250920,LA
DOCSIS,0,1083865,ME
DOCSIS,1,96208,ME
DSL,0,1256253,ME
FTTH,0,154426,ME
FTTH,1,12751,ME
Other,0,351466,ME
DOCSIS,0,417533,MD
DOCSIS,1,5014886,MD
DSL,0,4484081,MD
FTTH,0,3315471,MD
FTTH,1,105662,MD
Other,0,438732,MD
DOCSIS,0,863453,MA
DOCSIS,1,5481127,MA
DSL,0,5885212,MA
FTTH,0,2283875,MA
FTTH,1,538172,MA
Other,0,45212,MA
DOCSIS,0,2915333,MI
DOCSIS,1,5835716,MI
DSL,0,8903887,MI
FTTH,0,121954,MI
FTTH,1,459835,MI
Other,0,2647671,MI
DOCSIS,0,1175539,MN
