HocoNum,TechType,HighSpeed,population,HoldingCompanyName
130106,Other,0,1594,Beehive Telephone Companies
130107,DSL,0,5128,"Beggs Telephone Company, Inc."
130108,FTTH,1,22247,BEK Communications Cooperative
130112,DSL,0,86839,Ben Lomand
130112,FTTH,0,16060,Ben Lomand
130114,DSL,0,3570,BW Telcom
130114,FTTH,0,2269,BW Telcom
130114,Other,0,16975,BW Telcom
130115,DOCSIS,0,10350,Benton Cooperative Telephone Company
130115,DSL,0,17135,Benton Cooperative Telephone Company
130115,FTTH,0,5690,Benton Cooperative Telephone Company
130115,Other,0,19514,Benton Cooperative Telephone Company
130116,DSL,0,1811,Benton Ridge Telephone Company
130116,FTTH,0,3256,Benton Ridge Telephone Company
130116,Other,0,2978692,Benton Ridge Telephone Company
130118,DSL,0,2101,Beresford Municipal Telephone Company
130119,DSL,0,1032,Bergen Telephone Company
130120,FTTH,0,8646,"Bernard Telephone Company, Inc."
130120,Other,0,8646,"Bernard Telephone Company, Inc."
130122,DSL,0,251700,Biddeford Internet Corporation
130122,FTTH,1,9997,Biddeford Internet Corporation
130122,Other,0,57136,Biddeford Internet Corporation
130123,DSL,0,19068,"Big Bend Telephone Co., Inc."
130123,FTTH,0,434,"Big Bend Telephone Co., Inc."
130123,Other,0,41313,"Big Bend Telephone Co., Inc."
130124,DSL,0,30146,"Big River Telephone, LLC"
130124,Other,0,12999,"Big River Telephone, LLC"
130126,DSL,0,3360,"Bijou Telephone Co-Op Association, Inc."
130126,Other,0,20351,"Bijou Telephone Co-Op Association, Inc."
130127,DSL,1,251945,Birch Communications Inc.
130130,DSL,1,24971,Bixby Telephone Company
130130,FTTH,1,9010,Bixby Telephone Company
130132,DSL,0,43459,"Blackfoot Telephone Cooperative, Inc."
130132,Other,0,12087,"Blackfoot Telephone Cooperative, Inc."
130133,DSL,0,576,Blanca Telephone Company/Jade Communications LLC
130133,FTTH,0,931,Blanca Telephone Company/Jade Communications LLC
130133,Other,0,34086,Blanca Telephone Company/Jade Communications LLC
130134,DSL,0,3792,"Blanchard Telephone Association, Inc."
130136,DSL,0,28932,Bledsoe Telephone Cooperative Inc.
130136,FTTH,0,3000,Bledsoe Telephone Cooperative Inc.
130137,DOCSIS,1,809905,"Block Communications, Inc."
130138,DSL,0,7130,Bloomer Telephone Company
130138,FTTH,1,7080,Bloomer Telephone Company
130139,DSL,0,1584,Bloomingdale Home Telephone Company
130139,FTTH,0,79,Bloomingdale Home Telephone Company
130140,DSL,0,5289,"Bloomingdale Telephone Company, Inc."
130140,FTTH,0,10909,"Bloomingdale Telephone Company, Inc."
130141,DSL,0,1033,"Blossom Telephone Co., Inc."
130141,FTTH,0,2699,"Blossom Telephone Co., Inc."
130142,DOCSIS,0,4423,Rural Communications Holding Corporation
130142,DSL,0,41352,Rural Communications Holding Corporation
