,county,up18_fiber,up18_cable,up18_DSL,up18_total,down14_fiber,down14_cable,down14_DSL,down14_total,up15_fiber,up15_cable,up15_DSL,up15_total,down15_fiber,down15_cable,down15_DSL,down15_total,up16_fiber,up16_cable,up16_DSL,up16_total,down16_fiber,down16_cable,down16_DSL,down16_total,up17_fiber,up17_cable,up17_DSL,up17_total,down17_fiber,down17_cable,down17_DSL,down17_total,2018_FIBER_YES,state_code,POP10,num_blocks,StateAbbr,countystate,Q3 2018 Price
1649,20163,1.0,0.0,3.0,6.0,1.0,1.0,5.0,9.0,1.0,1.0,5.0,9.0,1.0,1.0,5.0,10.0,1.0,1.0,5.0,10.0,1.0,0.0,5.0,9.0,1.0,0.0,4.0,8.0,1.0,0.0,3.0,7.0,1,20,5171.0,1950,KS,20163,77818.0
1650,20165,2.0,1.0,4.0,9.0,1.0,1.0,4.0,7.0,1.0,1.0,4.0,7.0,2.0,1.0,4.0,9.0,1.0,1.0,4.0,8.0,1.0,1.0,4.0,8.0,2.0,1.0,4.0,9.0,2.0,1.0,4.0,10.0,1,20,3304.0,1488,KS,20165,72142.0
1651,20167,4.0,1.0,1.0,7.0,4.0,1.0,3.0,9.0,4.0,1.0,3.0,9.0,4.0,1.0,2.0,8.0,4.0,1.0,2.0,8.0,4.0,1.0,2.0,8.0,4.0,1.0,2.0,8.0,4.0,1.0,2.0,8.0,1,20,6918.0,1323,KS,20167,92989.0
1652,20169,3.0,3.0,5.0,16.0,3.0,3.0,4.0,16.0,4.0,3.0,3.0,16.0,4.0,3.0,5.0,18.0,4.0,3.0,5.0,18.0,3.0,3.0,5.0,17.0,3.0,3.0,5.0,15.0,3.0,3.0,5.0,16.0,1,20,55369.0,2369,KS,20169,129421.0
1653,20171,1.0,1.0,6.0,10.0,1.0,1.0,7.0,10.0,1.0,1.0,7.0,10.0,1.0,1.0,7.0,11.0,1.0,1.0,7.0,11.0,1.0,1.0,5.0,9.0,1.0,1.0,6.0,10.0,1.0,1.0,6.0,11.0,1,20,4707.0,609,KS,20171,140258.0
1654,20173,6.0,4.0,9.0,26.0,7.0,2.0,9.0,23.0,8.0,2.0,12.0,27.0,7.0,2.0,11.0,26.0,7.0,2.0,9.0,25.0,6.0,2.0,7.0,21.0,6.0,3.0,7.0,21.0,6.0,3.0,7.0,22.0,1,20,498365.0,13277,KS,20173,150616.0
1655,20175,0.0,3.0,6.0,12.0,0.0,3.0,5.0,10.0,0.0,2.0,5.0,9.0,1.0,2.0,5.0,11.0,0.0,2.0,6.0,11.0,0.0,2.0,5.0,10.0,0.0,3.0,6.0,12.0,0.0,2.0,6.0,12.0,0,20,22913.0,2136,KS,20175,101659.0
1656,20177,4.0,1.0,10.0,23.0,5.0,5.0,7.0,22.0,5.0,5.0,6.0,22.0,4.0,3.0,8.0,20.0,4.0,2.0,8.0,21.0,6.0,2.0,9.0,23.0,3.0,1.0,7.0,18.0,4.0,2.0,10.0,23.0,1,20,177934.0,5828,KS,20177,137145.0
1657,20179,2.0,1.0,2.0,8.0,2.0,1.0,5.0,10.0,2.0,1.0,5.0,10.0,3.0,1.0,5.0,11.0,2.0,1.0,5.0,11.0,2.0,1.0,2.0,8.0,3.0,1.0,1.0,8.0,3.0,1.0,1.0,9.0,1,20,2449.0,1106,KS,20179,104239.0
1658,20181,1.0,2.0,6.0,13.0,1.0,2.0,8.0,13.0,1.0,2.0,8.0,13.0,2.0,2.0,8.0,14.0,1.0,2.0,8.0,14.0,1.0,2.0,6.0,12.0,1.0,2.0,6.0,12.0,1.0,2.0,6.0,13.0,1,20,5315.0,794,KS,20181,89068.0
