HocoNum,FTTH 2018,FTTH 2014,changes,total Population 2014,HighSpeed_x,HighPop_x,High 2014,total Population 2018,HighSpeed_y,HighPop_y,High 2018,id,HoldingCompanyName
130144,8302,8282,20,21076,0.0,0.0,0.0,18096,0.0,0.0,0.0,718,"Blue Valley Tele-Communications, Inc."
130150,104118,88004,16114,148066,0.0,0.0,0.0,148103,1.0,104118.0,0.7030107425237841,523,Brandenburg Communications Corp.
130151,18254,17207,1047,17207,0.0,0.0,0.0,18254,1.0,18254.0,1.0,1479,"Strickland Communications, Inc."
130154,12660,12660,0,19490,1.0,12660.0,0.6495638789122627,18753,1.0,12660.0,0.6750919852823548,1678,Breda Telephone Corp.
130170,349,349,0,3115,0.0,0.0,0.0,3115,0.0,0.0,0.0,1692,"Bruce Telephone Company, Inc."
130178,238,69,169,69,0.0,0.0,0.0,238,0.0,0.0,0.0,126,"Burke's Garden Telephone Co., Inc."
130179,7863,4169,3694,9605,0.0,0.0,0.0,11089,0.0,0.0,0.0,318,Butler-Bremer Mutual Telephone Company
130189,2024,1847,177,10774,0.0,0.0,0.0,10814,1.0,2024.0,0.18716478638801554,241,Calaveras Communications Company
130193,8558,2522,6036,9793,0.0,0.0,0.0,15690,1.0,5308.0,0.3383046526449968,1390,"Cambridge Telephone Company, Inc."
130196,21317,15043,6274,26497,1.0,14206.0,0.5361361663584556,29505,1.0,19846.0,0.6726317573292663,55,Canby Telephone Association
130199,6462,2366,4096,8637,0.0,0.0,0.0,7458,0.0,0.0,0.0,768,"Cap Rock Telephone Cooperative, Inc"
130204,3878,2875,1003,4051,0.0,0.0,0.0,3878,1.0,3878.0,1.0,489,Cascade Communications Company
130206,27674,24714,2960,37546,0.0,0.0,0.0,39200,0.0,0.0,0.0,1587,"Cascade Utilities, Inc."
130208,5693,2420,3273,61588,0.0,0.0,0.0,61699,1.0,2018.0,0.032707175156809674,693,"Cass Communications Management, Inc."
130218,40971,40819,152,41183,1.0,40819.0,0.9911614015491829,41841,1.0,40971.0,0.9792069979206998,913,Cedar Falls Municipal Communications Utility
130226,2039,1420,619,19760,0.0,0.0,0.0,19773,0.0,0.0,0.0,91,Central Oklahoma Telephone Co.
130227,9953,2561,7392,181203,0.0,0.0,0.0,423520,1.0,9953.0,0.023500661125802794,562,Central Texas Telephone Cooperative Inc
130228,6151555,996053,5155502,48353158,1.0,681265.0,0.014089358961828304,49674507,1.0,11570616.0,0.23292865292050105,1703,"CenturyLink, Inc."
130234,21828,15992,5836,42178,0.0,0.0,0.0,113637,1.0,21828.0,0.1920853243221838,394,Chariton Valley Telephone Corporation
130238,5472,3563,1909,8521,0.0,0.0,0.0,8547,0.0,0.0,0.0,1659,Chazy & Westport Telephone
130239,11403,10639,764,39044,1.0,10639.0,0.27248745005634667,17102,1.0,11403.0,0.6667641211554204,1480,"Chequamegon Communications Cooperative, Inc."
130242,9546,15355,-5809,127402,0.0,0.0,0.0,122322,1.0,78910.0,0.6451006360262259,964,Chester Telephone Compay
130244,4839,3566,1273,81631,0.0,0.0,0.0,30277,1.0,5865.0,0.19371139809096014,1497,"Chibardun Telephone Cooperative, Inc."
130250,1304,1275,29,4717,0.0,0.0,0.0,4719,0.0,0.0,0.0,121,Christensen Communications Company
130252,17347,13886,3461,22641,0.0,0.0,0.0,22216,0.0,0.0,0.0,618,"Churchill County, State of Nevada"
130254,1375465,645501,729964,1626967,1.0,645501.0,0.39675113262899614,1884724,1.0,1375465.0,0.7297965113194292,1376,Cincinnati Bell Inc.
130258,10926625,1666795,9259830,18522461,1.0,1364583.0,0.07367179771629699,33822403,0.0,0.0,0.0,1694,Frontier Communications Corporation
130259,7094,6383,711,8697,0.0,0.0,0.0,8739,1.0,7094.0,0.8117633596521341,616,Citizens Mutual Telephone Cooperative
130264,20544,19154,1390,19427,0.0,0.0,0.0,20544,1.0,20544.0,1.0,258,Citizens Telephone Company of Kecksburg
