HocoNum,FTTH 2018,FTTH 2014,changes,total Population 2014,HighSpeed_x,HighPop_x,High 2014,total Population 2018,HighSpeed_y,HighPop_y,High 2018,id,HoldingCompanyName
130120,11236.0,8646.0,2590.0,8646,0.0,0.0,0.0,11236,0.0,0.0,0.0,485,"Bernard Telephone Company, Inc."
130122,1285.0,9997.0,-8712.0,266070,1.0,4282.0,0.01609350922689518,212302,1.0,352.0,0.001658015468530678,1417,Biddeford Internet Corporation
130123,5194.0,434.0,4760.0,42217,0.0,0.0,0.0,42394,1.0,3154.0,0.07439732037552484,1706,"Nevill Holdings, Inc."
130126,1036.0,0.0,1036.0,23535,0.0,0.0,0.0,23567,0.0,0.0,0.0,1660,"Bijou Telephone Co-Op Association, Inc."
130130,35526.0,9010.0,26516.0,33981,1.0,33981.0,1.0,43103,1.0,43103.0,1.0,183,BTC Broadband
130132,10993.0,0.0,10993.0,54439,0.0,0.0,0.0,86726,1.0,4099.0,0.04726379632405507,1421,"Blackfoot Telephone Cooperative, Inc."
130133,4638.0,931.0,3707.0,34196,0.0,0.0,0.0,40473,1.0,4416.0,0.1091097768882959,1582,Blanca Telephone Company
130136,11837.0,3000.0,8837.0,30555,0.0,0.0,0.0,30548,1.0,11837.0,0.3874885426214482,373,Bledsoe Telephone Cooperative Inc.
130137,14479.0,0.0,14479.0,809905,1.0,550343.0,0.6795154987313327,821257,1.0,821257.0,1.0,306,"Block Communications, Inc."
130138,7185.0,7080.0,105.0,7790,1.0,7080.0,0.9088575096277278,7185,1.0,7185.0,1.0,725,Bloomer Telephone Company
130139,2902.0,79.0,2823.0,1619,0.0,0.0,0.0,4484,0.0,0.0,0.0,613,Bloomingdale Home Telephone Company
130140,10909.0,10909.0,0.0,16033,0.0,0.0,0.0,16033,1.0,10909.0,0.6804091561155118,809,Bloomingdale Telephone Company Inc
130141,3461.0,2699.0,762.0,3469,0.0,0.0,0.0,4058,0.0,0.0,0.0,1778,Blossom Telephone Co.
130142,16641.0,13282.0,3359.0,42312,0.0,0.0,0.0,49985,1.0,16641.0,0.3329198759627888,863,Rural Communications Holding Corporation
130144,8302.0,8282.0,20.0,21076,0.0,0.0,0.0,18096,0.0,0.0,0.0,718,"Blue Valley Tele-Communications, Inc."
130150,104118.0,88004.0,16114.0,148066,0.0,0.0,0.0,148103,1.0,104118.0,0.7030107425237841,523,Brandenburg Communications Corp.
130151,18254.0,17207.0,1047.0,17207,0.0,0.0,0.0,18254,1.0,18254.0,1.0,1479,"Strickland Communications, Inc."
130152,420.0,0.0,420.0,12564,0.0,0.0,0.0,16840,1.0,420.0,0.02494061757719715,1025,Brazoria Telephone Company
130153,7497.0,0.0,7497.0,10298,0.0,0.0,0.0,10297,0.0,0.0,0.0,748,"Brazos Telephone Cooperative, Inc."
130154,12660.0,12660.0,0.0,19490,1.0,12660.0,0.6495638789122627,18753,1.0,12660.0,0.6750919852823548,1678,Breda Telephone Corp.
130161,271.0,0.0,271.0,284110,0.0,0.0,0.0,50890,1.0,271.0,0.0053252112399292595,1474,Broadband Corp.
130169,2906.0,0.0,2906.0,5013,0.0,0.0,0.0,3031,0.0,0.0,0.0,512,Brooklyn Mutual Telecommunications Cooperative
130170,349.0,349.0,0.0,3115,0.0,0.0,0.0,3115,0.0,0.0,0.0,1692,"Bruce Telephone Company, Inc."
130178,238.0,69.0,169.0,69,0.0,0.0,0.0,238,0.0,0.0,0.0,126,"Burke's Garden Telephone Co., Inc."
130179,7863.0,4169.0,3694.0,9605,0.0,0.0,0.0,11089,0.0,0.0,0.0,318,Butler-Bremer Mutual Telephone Company
130183,4192.0,0.0,4192.0,3270756,0.0,0.0,0.0,4346198,1.0,4319880.0,0.9939445924921045,716,"Avenue Broadband Communications, LLC d/b/a NewWave Communications"
130189,2024.0,1847.0,177.0,10774,0.0,0.0,0.0,10814,1.0,2024.0,0.18716478638801554,241,Calaveras Communications Company
130192,2997.0,0.0,2997.0,4925,0.0,0.0,0.0,7849,1.0,2.0,0.00025480952987641737,1392,"Cambridge TelCom, Inc."
130193,8558.0,2522.0,6036.0,9793,0.0,0.0,0.0,15690,1.0,5308.0,0.3383046526449968,1390,"Cambridge Telephone Company, Inc."
130196,21317.0,15043.0,6274.0,26497,1.0,14206.0,0.5361361663584556,29505,1.0,19846.0,0.6726317573292663,55,Canby Telephone Association
130199,6462.0,2366.0,4096.0,8637,0.0,0.0,0.0,7458,0.0,0.0,0.0,768,"Cap Rock Telephone Cooperative, Inc"
130201,1830.0,0.0,1830.0,3055,0.0,0.0,0.0,3055,1.0,1830.0,0.5990180032733224,1656,Carnegie Telephone Company
130204,3878.0,2875.0,1003.0,4051,0.0,0.0,0.0,3878,1.0,3878.0,1.0,489,Cascade Communications Company
130206,27674.0,24714.0,2960.0,37546,0.0,0.0,0.0,39200,0.0,0.0,0.0,1587,"Cascade Utilities, Inc."
130207,1085.0,0.0,1085.0,1582,0.0,0.0,0.0,1085,1.0,1085.0,1.0,685,Casey Mutual Telephone Company
130208,5693.0,2420.0,3273.0,61588,0.0,0.0,0.0,61699,1.0,2018.0,0.032707175156809674,693,"Cass Communications Management, Inc."
130218,40971.0,40819.0,152.0,41183,1.0,40819.0,0.9911614015491829,41841,1.0,40971.0,0.9792069979206998,913,Cedar Falls Municipal Communications Utility
130224,1553.0,0.0,1553.0,8747,0.0,0.0,0.0,8749,1.0,1553.0,0.17750600068579267,247,"Central Arkansas Telephone Cooperative, Inc."
130226,2039.0,1420.0,619.0,19760,0.0,0.0,0.0,19773,0.0,0.0,0.0,91,Central Oklahoma Telephone Co.
130227,9953.0,2561.0,7392.0,181203,0.0,0.0,0.0,423520,1.0,9953.0,0.023500661125802794,562,Central Texas Telephone Cooperative Inc
130228,6151555.0,996053.0,5155502.0,48353158,1.0,681265.0,0.014089358961828304,49674507,1.0,11570616.0,0.23292865292050105,1703,"CenturyLink, Inc."
130234,21828.0,15992.0,5836.0,42178,0.0,0.0,0.0,113637,1.0,21828.0,0.1920853243221838,394,Chariton Valley Telephone Corporation
130235,638969.0,0.0,638969.0,28648475,1.0,1977281.0,0.06901871740118802,102728182,1.0,102343845.0,0.9962586994871573,1543,Charter Communications
130238,5472.0,3563.0,1909.0,8521,0.0,0.0,0.0,8547,0.0,0.0,0.0,1659,Chazy & Westport Telephone
130239,11403.0,10639.0,764.0,39044,1.0,10639.0,0.27248745005634667,17102,1.0,11403.0,0.6667641211554204,1480,"Chequamegon Communications Cooperative, Inc."
130240,640.0,0.0,640.0,10108,0.0,0.0,0.0,16345,0.0,0.0,0.0,1252,Cherokee Telephone Company
130242,9546.0,15355.0,-5809.0,127402,0.0,0.0,0.0,122322,1.0,78910.0,0.6451006360262259,964,Chester Telephone Compay
130243,6597.0,0.0,6597.0,5779,0.0,0.0,0.0,6597,0.0,0.0,0.0,1155,Cheyenne River Sioux Tribe Telephone Authority
130244,4839.0,3566.0,1273.0,81631,0.0,0.0,0.0,30277,1.0,5865.0,0.19371139809096014,1497,"Chibardun Telephone Cooperative, Inc."
130245,94.0,0.0,94.0,70349,0.0,0.0,0.0,70487,1.0,94.0,0.001333579241562274,105,Chickasaw Holding Company
130250,1304.0,1275.0,29.0,4717,0.0,0.0,0.0,4719,0.0,0.0,0.0,121,Christensen Communications Company
130252,17347.0,13886.0,3461.0,22641,0.0,0.0,0.0,22216,0.0,0.0,0.0,618,"Churchill County, State of Nevada"
130254,1375465.0,645501.0,729964.0,1626967,1.0,645501.0,0.39675113262899614,1884724,1.0,1375465.0,0.7297965113194292,1376,Cincinnati Bell Inc.
130258,10926625.0,1666795.0,9259830.0,18522461,1.0,1364583.0,0.07367179771629699,33822403,0.0,0.0,0.0,1694,Frontier Communications Corporation
130259,7094.0,6383.0,711.0,8697,0.0,0.0,0.0,8739,1.0,7094.0,0.8117633596521341,616,Citizens Mutual Telephone Cooperative
130263,729.0,0.0,729.0,15912,0.0,0.0,0.0,15912,0.0,0.0,0.0,180,"Citizens Telephone Company of Higginsville, Missouri"
130264,20544.0,19154.0,1390.0,19427,0.0,0.0,0.0,20544,1.0,20544.0,1.0,258,Citizens Telephone Company of Kecksburg
130265,3065.0,305.0,2760.0,14983,0.0,0.0,0.0,13829,0.0,0.0,0.0,1496,"Citizens Telephone Company, Inc. (GA)"
130266,5459.0,2417.0,3042.0,27836,0.0,0.0,0.0,28110,1.0,3919.0,0.13941657773034508,1408,Citizens Telephone Cooperative (VA)
130267,5211.0,5211.0,0.0,5380,0.0,0.0,0.0,5380,1.0,5380.0,1.0,311,"Citizens Telephone Cooperative, Inc. (WI)"
130268,1868.0,0.0,1868.0,5639,0.0,0.0,0.0,5636,0.0,0.0,0.0,369,Citizens Telephone Corporation
130269,7429.0,6434.0,995.0,12022,0.0,0.0,0.0,11136,0.0,0.0,0.0,1122,"Citizens Vermont Acquisition Company, Inc."
130270,2622.0,0.0,2622.0,4526,0.0,0.0,0.0,2622,0.0,0.0,0.0,122,City of Barnesville Municipal Telephone
130271,21994.0,22010.0,-16.0,22010,0.0,0.0,0.0,21994,1.0,21994.0,1.0,1369,City of Brookings Telephone Fund
130274,214.0,214.0,0.0,422,0.0,0.0,0.0,422,0.0,0.0,0.0,127,City of Faith Municipal Telephone Company
130275,12995.0,13276.0,-281.0,13459,0.0,0.0,0.0,13131,1.0,12995.0,0.9896428299444063,1520,City of Ketchikan
130278,1498.0,0.0,1498.0,29309,0.0,0.0,0.0,29775,1.0,1498.0,0.05031066330814442,335,City of San Bruno
130279,7388.0,4812.0,2576.0,128306,0.0,0.0,0.0,105522,0.0,0.0,0.0,1517,City of Scottsburg
130282,25738.0,25674.0,64.0,25674,0.0,0.0,0.0,25738,1.0,25738.0,1.0,47,City of Wadsworth
130283,4851.0,4851.0,0.0,4851,0.0,0.0,0.0,4851,0.0,0.0,0.0,1344,City of Windom
130285,4910.0,4845.0,65.0,4845,0.0,0.0,0.0,4910,0.0,0.0,0.0,1054,"Clarence Telephone Company, Inc."
130288,34831.0,32748.0,2083.0,34831,0.0,0.0,0.0,34831,1.0,34831.0,1.0,151,"Clay County Rural Telephone Cooperative, Inc."
130290,13460.0,7299.0,6161.0,11770,0.0,0.0,0.0,13814,1.0,13460.0,0.9743738236571594,651,Clear Lake Independent Telephone Company
130291,28.0,0.0,28.0,6199,0.0,0.0,0.0,6199,0.0,0.0,0.0,123,Clear Lake Telephone Company
130299,3644.0,1067.0,2577.0,1179,0.0,0.0,0.0,5457,0.0,0.0,0.0,1372,Climax Telephone Company
130300,20540.0,20540.0,0.0,21720,1.0,20540.0,0.9456721915285451,23825,1.0,20540.0,0.8621196222455404,834,Clinton County Telephone
130302,7657.0,8807.0,-1150.0,8807,0.0,0.0,0.0,7657,0.0,0.0,0.0,492,C-M-L Telephone Cooperative Association
130305,3221.0,2430.0,791.0,2430,0.0,0.0,0.0,3221,1.0,3221.0,1.0,1644,Cochrane Cooperative Telephone Company
130307,2749.0,1575.0,1174.0,9400,0.0,0.0,0.0,9411,0.0,0.0,0.0,985,"Coleman County Telephone Coop, Inc"
130309,1475.0,142.0,1333.0,117973,0.0,0.0,0.0,149722,1.0,1373.0,0.009170329009764763,1333,COLI Inc.
130310,4623.0,3328.0,1295.0,3328,0.0,0.0,0.0,4623,0.0,0.0,0.0,327,Colo Telephone Company
130311,2511.0,0.0,2511.0,36010,0.0,0.0,0.0,36294,1.0,2511.0,0.06918498925442222,146,"Colorado Valley Telephone Cooperative, Inc."
130312,3296.0,1012.0,2284.0,3296,0.0,0.0,0.0,3296,0.0,0.0,0.0,161,Colton Telephone Company
130314,12924.0,8290.0,4634.0,8290,0.0,0.0,0.0,12924,1.0,12924.0,1.0,1057,Columbus Telephone Company
130315,6595.0,0.0,6595.0,59229,0.0,0.0,0.0,61197,1.0,6537.0,0.1068189617138095,1340,TOTE Holdings LLC
130317,17963.0,0.0,17963.0,108574053,1.0,108036076.0,0.9950450684566413,110583356,1.0,110511283.0,0.999348247307669,1487,Comcast Corporation
130321,7821.0,6801.0,1020.0,6801,0.0,0.0,0.0,7821,0.0,0.0,0.0,264,"Communications 1 Network, Inc."
130324,463.0,0.0,463.0,4155,0.0,0.0,0.0,5978,0.0,0.0,0.0,183,"Community Digital Wireless, LLC"
130327,2119.0,0.0,2119.0,3634,0.0,0.0,0.0,3634,0.0,0.0,0.0,856,"Community Telephone Co., Inc."
130335,965022.0,681413.0,283609.0,1626202,1.0,545530.0,0.33546263010376326,5177566,1.0,436050.0,0.08421910990608328,1475,"Consolidated Communications, Inc."
130337,36524.0,35213.0,1311.0,36569,0.0,0.0,0.0,36632,1.0,36609.0,0.9993721336536362,601,"Consolidated Communications Networks, Inc"
130338,55662.0,31460.0,24202.0,57942,0.0,0.0,0.0,66594,1.0,55662.0,0.8358410667627714,607,Consolidated Telephone Company
130344,5646.0,0.0,5646.0,5104,0.0,0.0,0.0,5646,1.0,5646.0,1.0,1690,"Coon Valley Cooperative Telephone Association, Inc."
130345,1903.0,1919.0,-16.0,5830,0.0,0.0,0.0,5830,0.0,0.0,0.0,477,"Coon Valley Cooperative Telephone Association, Inc."
130346,3237.0,0.0,3237.0,5410,0.0,0.0,0.0,3669,0.0,0.0,0.0,1492,Cooperative Telephone Company
130347,3377.0,0.0,3377.0,3241,0.0,0.0,0.0,3377,0.0,0.0,0.0,331,Cooperative Telephone Exchange
130353,2505.0,3043.0,-538.0,3043,0.0,0.0,0.0,3605,0.0,0.0,0.0,300,Corn Belt Telephone Company
130360,1143908.0,0.0,1143908.0,20766385,1.0,20749195.0,0.999172219912132,20820381,1.0,20797571.0,0.9989044388765028,1472,"Cox Communications, Inc."
130361,4059.0,2377.0,1682.0,5209,0.0,0.0,0.0,5209,0.0,0.0,0.0,1702,Cozad Telephone Company
130362,19216.0,12369.0,6847.0,17752,0.0,0.0,0.0,26127,0.0,0.0,0.0,722,"CP-Tel Holdings, Inc."
130363,10834.0,10289.0,545.0,13398,0.0,0.0,0.0,13530,1.0,10834.0,0.800739098300074,529,"Craigville Telephone Company, Inc"
130364,18959.0,8874.0,10085.0,33397,0.0,0.0,0.0,49909,1.0,18959.0,0.37987136588591236,1621,Craw-Kan
130366,5341.0,4131.0,1210.0,23452,0.0,0.0,0.0,24836,1.0,10.0,0.00040264132710581414,1640,Cross Telephone Company LLC
130369,5406.0,1832.0,3574.0,1832,0.0,0.0,0.0,6525,0.0,0.0,0.0,577,Crown Point Telephone Corporation
130370,360134.0,0.0,360134.0,12594664,1.0,12594664.0,1.0,19259006,1.0,18437426.0,0.9573404774888175,1710,Neptune Holdings US Corp.
130374,4207.0,0.0,4207.0,5091,0.0,0.0,0.0,5940,0.0,0.0,0.0,933,Cumberland Telephone Company
130375,3072.0,1709.0,1363.0,7861,0.0,0.0,0.0,10999,0.0,0.0,0.0,480,"Cumby Telephone Cooperative, Inc."
130378,5531.0,4593.0,938.0,9078,0.0,0.0,0.0,9069,0.0,0.0,0.0,21,Custer Telephone Cooperative Inc.
130380,4009.0,3.0,4006.0,10876,0.0,0.0,0.0,15667,1.0,807.0,0.051509542350162765,1730,Grayson Collin Electric Cooperative
130386,7467.0,1849.0,5618.0,27063,0.0,0.0,0.0,27068,1.0,7467.0,0.2758607950347274,1361,"D D & B, Inc."
130387,25520.0,24358.0,1162.0,24817,0.0,0.0,0.0,25760,1.0,25520.0,0.9906832298136646,773,Dakota Central Telecommunications Cooperative
