HocoNum,HighSpeed,population,state
130068,0,23002,AL
130077,0,3150863,AL
130137,0,3099,AL
130159,0,379081,AL
130183,0,111461,AL
130210,0,2615,AL
130228,0,663869,AL
130235,0,1761454,AL
130258,0,43584,AL
130317,1,812301,AL
130348,0,40930,AL
130418,0,14635,AL
130471,0,4622,AL
130587,0,595257,AL
130597,0,26684,AL
130804,0,56,AL
130804,1,473106,AL
130844,0,16157,AL
130851,0,4544,AL
130861,0,5450,AL
130902,0,12902,AL
131038,0,12367,AL
131086,0,3216,AL
131132,0,10810,AL
131302,0,223,AL
131310,0,56429,AL
131311,0,15437,AL
131352,0,116424,AL
131413,0,81693,AL
131480,0,630760,AL
131513,0,21,AL
150292,0,11034,AL
150296,0,65162,AL
160157,0,18603,AL
170086,0,985,AL
180057,0,61,AL
190308,0,83932,AL
190341,0,0,AL
190367,0,38382,AL
190380,1,104885,AL
230029,0,19884,AL
230038,0,329,AL
240085,0,14570,AL
250020,0,7123,AL
250035,0,1284,AL
250035,1,631,AL
250087,0,964,AL
260000,0,27049,AL
260000,1,57964,AL
290028,1,26430,AL
310035,0,520,AL
320042,0,19013,AL
320052,0,110,AL
320094,0,2285,AL
320095,0,4490,AL
320121,0,14635,AL
130011,0,313,AK
130028,0,288760,AK
130029,0,14375,AK
130035,0,0,AK
130067,0,8139,AK
130077,0,386,AK
130160,0,1739,AK
130275,0,13459,AK
130349,0,6569,AK
130352,0,2109,AK
130471,0,10,AK
130534,0,79020,AK
130534,1,500049,AK
130791,0,115144,AK
130791,1,8641,AK
130964,0,2381,AK
131226,0,20778,AK
140084,0,12029,AK
150229,0,1539,AK
190019,0,52506,AK
190281,0,3247,AK
260068,0,474,AK
300020,0,215582,AK
320078,0,170,AK
130081,0,82738,AZ
130103,0,51446,AZ
130183,0,253534,AZ
130206,0,3031,AZ
130228,0,5290668,AZ
130228,1,28911,AZ
130258,0,213413,AZ
130258,1,639,AZ
130317,1,323253,AZ
130360,0,17190,AZ
130360,1,4199746,AZ
130418,0,81950,AZ
130509,0,5909,AZ
130542,0,6118,AZ
130627,0,88582,AZ
130804,0,3228,AZ
130804,1,145394,AZ
130831,0,7809,AZ
130986,0,64,AZ
131016,0,1443916,AZ
131057,0,10381,AZ
131148,0,0,AZ
131191,0,1010864,AZ
131208,0,8165,AZ
131219,0,1863,AZ
131269,0,18367,AZ
131269,1,268033,AZ
131310,0,8261,AZ
131352,0,162412,AZ
131357,0,7870,AZ
131411,0,28000,AZ
131413,0,26,AZ
131470,0,25880,AZ
140018,0,1989,AZ
140043,0,4986,AZ
150200,0,1520,AZ
150200,1,7794,AZ
150295,0,43018,AZ
170054,0,1576,AZ
180057,0,22,AZ
190008,0,824,AZ
190155,0,774,AZ
190192,0,23,AZ
190428,0,9983,AZ
220013,0,17283,AZ
230021,0,114,AZ
240009,0,90688,AZ
250009,0,297020,AZ
260050,0,125439,AZ
270101,0,53487,AZ
270115,0,798316,AZ
280026,0,12621,AZ
280035,0,22042,AZ
290057,0,3676,AZ
290083,0,4724,AZ
300019,0,31637,AZ
300063,0,3023649,AZ
300069,0,266,AZ
310014,0,0,AZ
310084,0,9239,AZ
320051,0,21697,AZ
320117,0,2,AZ
320121,0,81950,AZ
130069,0,14898,AR
130070,0,11566,AR
130077,0,1568398,AR
130183,0,37753,AR
130224,0,8747,AR
130224,1,0,AR
130228,0,531941,AR
130317,1,371969,AR
130340,0,60799,AR
130360,1,578802,AR
130386,0,27063,AR
130427,0,79233,AR
130427,1,8090,AR
130497,0,137341,AR
130725,1,4009,AR
130768,0,9555,AR
130772,0,2852,AR
130882,0,17423,AR
131108,0,1057,AR
131169,0,798,AR
131177,0,1307,AR
131214,0,7767,AR
131232,0,18859,AR
131269,0,43531,AR
131269,1,416249,AR
131306,0,12279,AR
131310,0,11518,AR
131362,0,11722,AR
131413,0,232942,AR
131518,0,22790,AR
150206,0,43440,AR
150206,1,4864,AR
150334,0,240294,AR
180041,0,28125,AR
180057,0,0,AR
190399,0,142923,AR
210092,0,94945,AR
220008,0,915,AR
220078,0,13,AR
230021,0,56441,AR
230062,0,199925,AR
230074,0,15955,AR
260019,0,531,AR
260032,0,268,AR
260056,1,1294,AR
260063,0,204,AR
270012,0,23568,AR
270016,0,1383,AR
270090,0,164406,AR
270096,0,1345,AR
300059,0,18088,AR
300079,0,4003,AR
300184,0,20331,AR
320090,0,146,AR
130062,0,402704,CA
130077,0,26445982,CA
130077,1,18869,CA
130103,0,18567,CA
130159,0,664178,CA
130171,0,420,CA
130189,0,10774,CA
130202,0,0,CA
130228,0,29,CA
130235,0,4328664,CA
130254,0,0,CA
130258,0,364287,CA
130258,1,10080,CA
130317,1,11822826,CA
130335,0,604674,CA
130360,1,3214093,CA
130418,0,562654,CA
130471,0,101,CA
130509,0,6871,CA
130804,0,29222,CA
130804,1,131920,CA
130967,0,361891,CA
131057,0,16668,CA
131173,0,41071,CA
131186,0,35710,CA
131195,0,7639,CA
131207,0,178097,CA
131269,0,5431,CA
131269,1,189584,CA
131310,0,9480,CA
131352,0,1537085,CA
131352,1,13078655,CA
131400,0,54960,CA
131404,0,29066,CA
131416,0,2359,CA
131421,0,35209,CA
131425,0,7924150,CA
131441,0,41623,CA
131454,0,1345,CA
131454,1,952652,CA
131473,0,3787,CA
131513,0,64724,CA
140048,0,80,CA
150292,0,41957,CA
160127,0,28232,CA
160141,0,10629,CA
160157,0,17807,CA
170098,0,371,CA
180057,0,0,CA
190002,0,181178,CA
190008,0,2862,CA
190014,0,1292853,CA
190075,0,3714,CA
190107,0,211725,CA
190123,0,232659,CA
190155,0,540,CA
190172,0,16737,CA
190192,0,490,CA
190311,0,1259999,CA
190425,0,3183947,CA
190425,1,3353,CA
200020,0,727860,CA
200041,0,486672,CA
220027,0,0,CA
220058,0,5213,CA
220075,0,4809,CA
220082,0,759,CA
230021,0,533,CA
240014,0,13403,CA
240036,0,2576,CA
240041,1,3300,CA
240055,0,1811,CA
240066,0,119958,CA
250026,0,44055,CA
260007,1,1048,CA
260052,0,328575,CA
270006,0,80986,CA
270018,0,6548,CA
270020,0,172948,CA
270051,0,15628,CA
270073,0,37222,CA
280024,0,237,CA
280026,0,972,CA
280042,0,83358,CA
280057,0,470364,CA
280075,0,623,CA
280078,0,2985,CA
290052,0,104,CA
290065,0,618,CA
290088,0,42191,CA
290108,0,2231,CA
290114,0,872,CA
290123,0,579,CA
290128,0,279,CA
300043,0,3024653,CA
300079,0,345850,CA
300095,0,34482,CA
300117,0,2659,CA
300129,0,8603,CA
300136,0,240234,CA
300173,0,556,CA
300199,0,1057360,CA
310005,0,508,CA
310027,0,18091,CA
310065,0,47329,CA
310067,0,7348,CA
310084,0,6523,CA
320031,0,15,CA
320045,0,64530,CA
320062,0,11178,CA
320081,0,4246,CA
320117,0,244,CA
320121,0,562654,CA
130017,0,347,CO
130126,0,23535,CO
130133,0,33067,CO
130133,1,1129,CO
130228,0,4396915,CO
130228,1,246895,CO
130235,0,360328,CO
130317,1,3799427,CO
130418,0,141936,CO
130429,0,3447,CO
130439,0,10824,CO
130471,0,8394,CO
130487,0,7353,CO
130569,0,12,CO
130623,0,99,CO
130627,0,80287,CO
130663,0,30258,CO
130674,0,1890,CO
130692,0,54090,CO
130868,0,1401,CO
130962,0,2333,CO
130963,0,1875,CO
131017,0,353618,CO
131021,0,676,CO
131034,0,5348,CO
131044,0,26,CO
131049,0,2552,CO
131090,0,92,CO
131111,0,281,CO
131128,0,10037,CO
131145,0,43,CO
131265,0,171,CO
131310,0,128684,CO
131310,1,1639,CO
131352,0,14964,CO
131362,0,2722,CO
131404,0,15726,CO
131481,0,8836,CO
131487,0,189,CO
131513,0,134,CO
140048,0,3135700,CO
140055,0,0,CO
150206,0,5698,CO
150244,0,354,CO
180057,0,109,CO
190008,0,149,CO
190074,1,2870,CO
190084,0,39,CO
190145,0,10473,CO
190166,0,28020,CO
190166,1,39,CO
190192,0,70253,CO
190313,0,37512,CO
190328,0,17343,CO
210028,0,100416,CO
220012,0,1944,CO
230043,0,23874,CO
230043,1,1084,CO
230054,0,13127,CO
250092,0,279,CO
270033,0,16718,CO
270064,0,865,CO
280014,1,11432,CO
280068,0,35623,CO
290008,0,46248,CO
290051,0,14573,CO
290092,0,994,CO
290092,1,37,CO
300037,0,10071,CO
300078,0,653725,CO
300081,0,561,CO
300147,0,1208,CO
300171,0,468,CO
300192,0,28890,CO
310005,0,167,CO
310019,0,19642,CO
310024,0,47617,CO
310079,0,8121,CO
310079,1,1797,CO
310085,0,13272,CO
320022,0,681,CO
320121,0,141936,CO
360114,0,71,CO
130081,0,319,CT
130235,0,350119,CT
130254,0,248,CT
130258,0,3375700,CT
130317,1,1806167,CT
130360,1,445306,CT
130370,1,832839,CT
130418,0,37714,CT
130576,1,63923,CT
130591,0,141066,CT
131425,0,45314,CT
131513,0,6,CT
180057,0,0,CT
