HocoNum,TechType,HighSpeed,population
130002,DSL,0,20394
130002,DSL,1,5235
130002,FTTH,0,11192
130002,FTTH,1,104
130002,Other,0,11192
130002,Other,1,104
130005,DSL,0,93
130008,DSL,0,89360
130008,FTTH,1,37199
130008,Other,0,20892
130010,DSL,0,60100
130010,Other,0,86775
130011,FTTH,0,313
130012,DSL,0,23688
130012,FTTH,0,2947
130012,FTTH,1,24034
130012,Other,0,161572
130017,DSL,0,347
130018,DSL,0,48291
130019,FTTH,1,102445
130019,Other,0,865027
130028,DSL,0,288760
130029,DSL,0,12790
130029,Other,0,9699
130031,FTTH,1,9502
130032,DSL,0,9845
130032,FTTH,0,3716
130034,DOCSIS,0,283
130034,DSL,0,5129
130034,FTTH,0,29626
130034,Other,0,257
130035,DOCSIS,0,8728
130035,FTTH,0,8728
130036,DSL,0,3446
130036,FTTH,0,2386
130037,DOCSIS,0,12576
130037,DSL,0,14834
130037,FTTH,0,23159
130037,Other,0,14429
130039,DOCSIS,0,41347
130039,FTTH,0,32098
130040,FTTH,0,29952
130043,FTTH,0,728
130044,DOCSIS,0,29151
130044,DSL,0,18327
130045,DSL,0,7001
130045,FTTH,0,5293
130045,Other,0,1991
130046,DOCSIS,0,1916
130057,DOCSIS,0,21583
130057,DSL,0,21251
130057,FTTH,0,756
130058,DSL,0,11896
130058,FTTH,0,10283
130059,Other,0,452737
130061,Other,0,7393
130062,Other,0,402704
130065,DOCSIS,0,771
130065,DSL,0,4692
130065,Other,0,76387
130066,DSL,0,663
130066,FTTH,0,4601
130067,DSL,0,8139
130068,DSL,0,30689
130069,DSL,0,14898
130070,DSL,0,2480
130070,FTTH,0,9086
130071,DOCSIS,1,921740
130071,DSL,0,50453
130073,DSL,0,3357
130073,FTTH,0,3357
130074,DOCSIS,0,41427
130074,DSL,0,112148
130074,FTTH,1,27242
130074,Other,0,84171
130077,DSL,0,123027255
130077,FTTH,0,1387353
130077,FTTH,1,1141735
130077,Other,0,386
130079,DOCSIS,0,28628
130079,DOCSIS,1,4793410
130079,DSL,0,69240
130079,FTTH,0,6770
130079,FTTH,1,747370
130081,DSL,0,56699
130081,DSL,1,668
130081,Other,0,326389
130082,DOCSIS,0,42481
130082,DSL,0,65886
130082,FTTH,1,21035
130083,DSL,0,2127
130084,DOCSIS,0,1191
130086,DSL,0,23069
130086,Other,0,36872
130087,DSL,0,2506
130088,DSL,0,1335
130088,Other,0,695
130090,DSL,0,1180
130090,FTTH,0,172
130090,Other,0,7723
130092,FTTH,0,1995
130093,DOCSIS,0,17242
130093,DSL,0,2198
130093,FTTH,0,22410
130094,DSL,0,4989
130094,FTTH,0,7929
130095,DSL,0,10688
130095,FTTH,0,6521
130096,DSL,0,2604
130097,DSL,0,18822
130097,FTTH,0,1879
130097,Other,0,84762
130098,FTTH,0,10530
130098,Other,0,96198
130103,DOCSIS,0,1326
130103,Other,0,69872
130104,DSL,0,17300
130104,FTTH,0,958
130105,Other,0,2003
130106,DSL,0,2524
130106,FTTH,0,12
130106,FTTH,1,3323
130106,Other,0,1594
130107,DSL,0,5128
130108,FTTH,1,22312
130112,DSL,0,86839
130112,FTTH,0,16060
130114,DSL,0,3570
130114,FTTH,0,2269
130114,Other,0,16975
130115,DOCSIS,0,10350
130115,DSL,0,16399
130115,FTTH,0,5503
130115,Other,0,19514
130116,DSL,0,1809
130116,FTTH,0,5280
130116,Other,0,2978692
130118,DSL,0,2101
130119,DSL,0,374
130119,FTTH,1,658
130120,FTTH,0,9221
130120,Other,0,9221
130122,DSL,0,251995
