HocoNum,TechType,HighSpeed,population,state
340031,Other,0,137,AZ
340055,Other,0,104,AZ
130069,DSL,0,14898,AR
130070,DSL,0,2480,AR
130070,FTTH,0,9086,AR
130077,DSL,0,1554567,AR
130077,FTTH,0,27623,AR
130077,FTTH,1,1960,AR
130124,DSL,0,173,AR
130127,DSL,0,679,AR
130132,DSL,0,0,AR
130183,DOCSIS,1,35520,AR
130224,DSL,0,8747,AR
130224,FTTH,1,0,AR
130228,DSL,0,550412,AR
130228,FTTH,0,9674,AR
130228,FTTH,1,177,AR
130254,DSL,0,58,AR
130317,DOCSIS,1,373878,AR
130340,DOCSIS,0,60799,AR
130360,DOCSIS,1,567426,AR
130360,FTTH,1,1738,AR
130370,DOCSIS,0,44700,AR
130370,DOCSIS,1,413588,AR
130386,DSL,0,25556,AR
130386,FTTH,0,5164,AR
130427,DOCSIS,0,62871,AR
130427,DSL,0,21635,AR
130427,FTTH,0,8090,AR
130492,Other,0,53935,AR
130497,DOCSIS,1,137341,AR
130725,FTTH,1,4009,AR
130768,DSL,0,7366,AR
130768,FTTH,0,2461,AR
130772,DSL,0,2852,AR
130882,DSL,0,14735,AR
130882,FTTH,1,4921,AR
131108,DSL,0,1087,AR
131169,DSL,0,800,AR
131177,DSL,0,1311,AR
131214,DSL,0,7767,AR
131232,DSL,0,9845,AR
131232,FTTH,1,8990,AR
131232,Other,0,358,AR
131306,DOCSIS,0,12245,AR
131310,DSL,0,10417,AR
131310,Other,0,1723,AR
131362,DSL,0,11315,AR
131413,DSL,0,259457,AR
131413,FTTH,0,1646,AR
131518,DOCSIS,0,3770,AR
131518,DSL,0,22125,AR
131518,FTTH,0,1332,AR
131518,FTTH,1,18051,AR
150206,DOCSIS,0,38784,AR
150206,DOCSIS,1,8888,AR
150334,DOCSIS,0,192481,AR
160116,DSL,0,17,AR
180041,DOCSIS,0,28125,AR
190053,Other,0,2114,AR
210092,Other,0,94945,AR
220008,DOCSIS,0,915,AR
230021,DOCSIS,0,32671,AR
230021,Other,0,33814,AR
230062,Other,0,240643,AR
230074,DSL,0,13658,AR
230074,FTTH,0,2868,AR
230074,FTTH,1,0,AR
260019,Other,0,211,AR
260019,Other,1,318,AR
260032,Other,0,322,AR
260056,Other,1,1958,AR
260063,Other,0,204,AR
270012,Other,0,19424,AR
270016,Other,0,582,AR
270090,DSL,0,348308,AR
270090,Other,0,348308,AR
270096,Other,0,1345,AR
300059,DOCSIS,0,17404,AR
300059,FTTH,0,16013,AR
300079,Other,0,4003,AR
300184,DOCSIS,0,20155,AR
320075,Other,0,0,AR
340009,Other,0,100,AR
350131,Other,0,2639,AR
130062,Other,0,406110,CA
130077,DSL,0,26280109,CA
130077,FTTH,0,124523,CA
130077,FTTH,1,69276,CA
130103,Other,0,18614,CA
130127,DSL,0,540,CA
130171,DSL,0,294,CA
130171,Other,0,237,CA
130189,DSL,0,8150,CA
130189,FTTH,0,1847,CA
130189,Other,0,3362,CA
130202,DOCSIS,0,0,CA
130228,DSL,0,3,CA
130235,DOCSIS,0,6234451,CA
130235,DOCSIS,1,13036519,CA
130254,DSL,0,2001,CA
130258,DSL,0,8318430,CA
130258,FTTH,0,4683098,CA
130278,DOCSIS,0,29309,CA
130317,DOCSIS,0,58644,CA
130317,DOCSIS,1,11735065,CA
130335,DSL,0,227847,CA
130335,FTTH,0,85296,CA
130335,FTTH,1,351030,CA
130360,DOCSIS,1,3183503,CA
130360,FTTH,1,69564,CA
130370,DOCSIS,0,4778,CA
130370,DOCSIS,1,186541,CA
130509,FTTH,0,764,CA
130627,DSL,0,1324,CA
130804,DOCSIS,0,1737,CA
130804,DOCSIS,1,159405,CA
130967,Other,0,361891,CA
130986,DOCSIS,0,14,CA
130986,DSL,0,14,CA
130986,FTTH,0,14,CA
131057,DSL,0,15669,CA
131057,FTTH,0,2550,CA
131173,DSL,0,29024,CA
131173,FTTH,0,25368,CA
131173,Other,0,34730,CA
131186,DSL,0,35711,CA
131186,FTTH,0,2274,CA
131195,DSL,0,5063,CA
131195,FTTH,0,2568,CA
131310,DSL,0,9518,CA
131400,DSL,0,1063,CA
131400,Other,0,55757,CA
131404,DOCSIS,0,24103,CA
131404,Other,0,18498,CA
131416,DSL,0,2853,CA
131421,Other,0,35209,CA
131441,DOCSIS,0,12016,CA
131441,DSL,0,17074,CA
131441,FTTH,0,1128,CA
131441,Other,0,24403,CA
131454,DOCSIS,0,1383,CA
131454,DOCSIS,1,962891,CA
131454,DSL,1,36,CA
131473,Other,0,3787,CA
140048,Other,0,80,CA
150292,DOCSIS,0,40074,CA
160127,DSL,0,4508,CA
160127,Other,0,24575,CA
160141,FTTH,0,5645,CA
160141,FTTH,1,204,CA
160141,Other,0,9227,CA
160157,DOCSIS,0,17844,CA
170098,DOCSIS,0,0,CA
190002,Other,0,181178,CA
190008,DOCSIS,0,2827,CA
190008,DSL,0,35,CA
190014,DSL,0,1074386,CA
190075,DOCSIS,0,3714,CA
190107,DSL,0,211725,CA
190123,Other,0,233209,CA
190155,Other,0,540,CA
190172,DOCSIS,0,14622,CA
190192,DSL,0,490,CA
190311,Other,0,1276942,CA
190425,DSL,0,3024254,CA
190425,FTTH,1,165547,CA
200020,Other,0,1089637,CA
200041,DSL,0,675204,CA
200057,Other,0,158,CA
220027,Other,0,0,CA
220058,Other,0,9307,CA
220075,Other,0,4387,CA
220082,Other,0,759,CA
230021,DOCSIS,0,125,CA
230021,Other,0,408,CA
240014,DOCSIS,0,13403,CA
240036,Other,0,2576,CA
240041,FTTH,1,4932,CA
240055,DOCSIS,0,1542,CA
240055,Other,0,311,CA
260007,FTTH,1,1611,CA
260052,Other,0,361826,CA
270006,Other,0,80986,CA
270018,Other,0,4670,CA
270020,Other,0,223860,CA
270051,Other,0,15634,CA
270073,Other,0,37222,CA
280024,Other,0,729,CA
280026,DOCSIS,0,972,CA
280042,Other,0,82593,CA
280057,Other,0,470364,CA
280075,Other,0,623,CA
280078,DOCSIS,0,2985,CA
290052,Other,0,90,CA
290088,Other,0,42191,CA
290108,Other,0,1756,CA
290114,Other,0,1022,CA
290123,Other,0,783,CA
290128,Other,0,76,CA
300043,Other,0,3024653,CA
300079,Other,0,190452,CA
300095,Other,0,327605,CA
300117,Other,0,7093,CA
300129,Other,0,72689,CA
300136,Other,0,327605,CA
300173,Other,0,556,CA
300199,Other,0,11177,CA
310015,DSL,0,2721,CA
310015,FTTH,1,4621,CA
310015,Other,0,47,CA
310015,Other,1,95021,CA
310027,Other,0,24084,CA
310065,Other,0,179731,CA
310067,Other,0,6160,CA
310084,Other,0,6523,CA
320031,Other,0,15,CA
320045,DOCSIS,1,79694,CA
320062,Other,0,4040,CA
320075,Other,0,52,CA
320081,Other,0,4246,CA
320117,Other,0,69,CA
320121,DSL,0,1982130,CA
330003,Other,0,119958,CA
330032,FTTH,1,81,CA
330062,FTTH,1,20198,CA
330066,Other,0,8197,CA
340041,Other,0,12320,CA
340042,Other,0,401,CA
340045,Other,0,4726,CA
340066,Other,1,6311,CA
340071,Other,0,4172,CA
340076,FTTH,1,148231,CA
340085,Other,0,2645556,CA
340093,Other,0,202,CA
340098,Other,0,3668275,CA
360126,Other,0,71,CA
130017,DSL,0,347,CO
130126,DSL,0,3360,CO
130126,Other,0,20351,CO
130127,DSL,0,12692,CO
130132,DSL,0,0,CO
130133,DSL,0,578,CO
130133,FTTH,0,283,CO
130133,FTTH,1,1129,CO
130133,Other,0,36953,CO
130228,DSL,0,4577441,CO
130228,FTTH,0,54003,CO
130228,FTTH,1,341829,CO
130228,Other,0,456,CO
130235,DOCSIS,0,366940,CO
130254,DSL,0,729,CO
130317,DOCSIS,0,913,CO
130317,DOCSIS,1,3801639,CO
130429,DOCSIS,0,3441,CO
130429,Other,0,6,CO
130439,DSL,0,11021,CO
130471,DSL,0,7065,CO
130471,Other,0,2485,CO
130487,DSL,0,850,CO
130487,FTTH,0,396,CO
130569,DSL,0,9,CO
130623,FTTH,0,68,CO
130627,DSL,0,1117409,CO
130663,Other,0,41119,CO
130674,DSL,0,2081,CO
130674,FTTH,0,113,CO
130692,DOCSIS,0,411,CO
130692,FTTH,1,6744,CO
130692,Other,0,54077,CO
130868,DOCSIS,0,1401,CO
130886,Other,0,224556,CO
130962,DSL,0,2327,CO
130962,FTTH,0,14,CO
130962,Other,0,254,CO
130963,DSL,0,16,CO
130963,FTTH,0,1875,CO
130986,DOCSIS,0,1236,CO
130986,DSL,0,1236,CO
130986,FTTH,0,1236,CO
131017,FTTH,0,2797,CO
131017,Other,0,353527,CO
131021,DSL,0,475,CO
131021,Other,0,2751,CO
131034,DOCSIS,0,2361,CO
131034,FTTH,1,3249,CO
131034,Other,0,1337,CO
131043,Other,0,12083,CO
131044,DSL,0,26,CO
131049,FTTH,0,2552,CO
131090,DSL,0,49,CO
131090,FTTH,0,11,CO
131090,Other,0,32,CO
131111,DSL,0,999,CO
131128,Other,0,10454,CO
131265,FTTH,0,171,CO
131310,DOCSIS,0,110383,CO
131310,DSL,0,22085,CO
131310,FTTH,0,2550,CO
131362,DSL,0,2722,CO
131404,DOCSIS,0,12214,CO
131404,FTTH,0,696,CO
131481,FTTH,0,9427,CO
131487,FTTH,0,189,CO
140048,Other,0,3221114,CO
150206,DOCSIS,0,5333,CO
150244,DOCSIS,0,354,CO
190008,DSL,0,149,CO
190084,FTTH,1,137,CO
190145,DOCSIS,0,6600,CO
190145,DSL,0,570,CO
190145,FTTH,0,3471,CO
190166,DSL,0,27069,CO
190166,DSL,1,259,CO
190166,FTTH,1,298,CO
190192,DSL,0,70253,CO
190313,DOCSIS,0,250,CO
190313,FTTH,0,1198,CO
190313,Other,0,35166,CO
190328,Other,0,18517,CO
200057,Other,0,5,CO
220012,Other,0,2219,CO
230043,FTTH,1,1736,CO
230043,Other,0,132438,CO
230054,Other,0,13127,CO
250092,Other,0,279,CO
270033,Other,0,2125472,CO
270064,Other,0,81,CO
280014,FTTH,1,33983,CO
280068,Other,0,35623,CO
290008,Other,0,46425,CO
290051,Other,0,14573,CO
290052,Other,0,27,CO
290092,Other,0,900,CO
290092,Other,1,57,CO
300037,Other,0,10071,CO
300078,Other,0,653725,CO
300147,Other,0,1836,CO
300171,DSL,0,2306,CO
300171,Other,0,25,CO
300192,DOCSIS,0,9,CO
300192,DSL,0,19660,CO
300192,FTTH,1,19660,CO
300192,Other,0,32685,CO
310019,Other,0,20753,CO
310024,DOCSIS,0,67966,CO
310024,DSL,0,67966,CO
310024,FTTH,0,67966,CO
310024,Other,0,67966,CO
310079,Other,1,23176,CO
310085,Other,0,13272,CO
320022,Other,0,1777,CO
320080,Other,0,55,CO
320117,Other,0,5,CO
320121,DSL,0,186309,CO
330032,FTTH,0,27,CO
330032,FTTH,1,3157,CO
330032,Other,0,12946,CO
330052,Other,0,2933,CO
330053,Other,0,3514,CO
330053,Other,1,505,CO
340009,Other,0,141,CO
340050,Other,0,2971,CO
130081,DSL,0,319,CT
130235,DOCSIS,0,354109,CT
130254,DSL,0,83,CT
130258,DSL,0,946350,CT
130258,DSL,1,2477045,CT
130317,DOCSIS,1,1806828,CT
130360,DOCSIS,1,441853,CT
130360,FTTH,1,751,CT
130370,DOCSIS,1,803501,CT
130576,DOCSIS,1,63923,CT
131425,DSL,0,43165,CT
131425,FTTH,0,38467,CT
190192,DSL,0,157,CT
280001,DOCSIS,1,138993,CT
320121,DSL,0,62616,CT
130081,DSL,0,97,DE
130127,DSL,0,423,DE
130317,DOCSIS,1,748353,DE
130804,DOCSIS,0,63,DE
130804,DOCSIS,1,67482,DE
131425,DSL,0,649652,DE
131425,FTTH,0,500413,DE
190008,DSL,0,672,DE
280001,DOCSIS,0,66,DE
280001,DOCSIS,1,52202,DE
290009,Other,0,96,DE
290018,Other,0,32238,DE
320121,DSL,0,10262,DE
