HocoNum,HighSpeed,population
130570,0,22512
130574,1,3673
130576,1,63923
130578,0,26450
130578,1,108940
130580,0,5819
130581,0,1202
130583,0,7592
130583,1,7397
130584,0,44332
130584,1,4811
130586,0,7959
130586,1,57232
130587,0,1374623
130588,0,14554
130588,1,307
130589,0,193852
130590,0,7379
130591,0,5975
130591,1,453255
130592,0,2872
130594,0,87227
130595,0,625965
130595,1,631396
130596,1,3699
130597,0,26684
130598,0,29340
130601,0,419
130602,0,19893
130603,0,3318
130604,0,2895
130605,0,31424
130606,0,226825
130606,1,78746
130607,0,18338
130609,0,6298
130610,0,1719
130612,0,22547
130612,1,13500
130613,0,1917
130614,0,41097
130616,0,6994
130617,0,24717
130617,1,72974
130619,0,80053
130620,0,90233
130620,1,227521
130621,0,10012
130622,0,1073
130623,0,76214
130623,1,139463
130624,0,183962
130626,0,1290
130630,0,8980
130631,0,3512
130634,0,22768
130641,1,7244
130645,0,5088
130647,0,3101
130648,0,18975
130651,0,10119
130655,0,89408
130657,0,2460
130657,1,3856
130662,0,35982
130663,0,253222
130667,0,21965
130668,0,10391
130673,0,45661
130674,0,2201
130677,0,5279
130678,0,3172
130679,0,1096
130681,0,3785
130682,1,6777
130683,0,8154
130684,0,444759
130685,0,87957
130686,0,7060
130686,1,8248
130690,0,1095
130691,0,1616
130692,0,56710
130692,1,6744
130693,0,4976
130695,0,1560
130696,0,6291
130696,1,323
130697,0,59447
130697,1,10513
130699,0,186
130707,0,29841
130708,0,4597
130709,0,3083
130710,0,2095
130711,0,1814
130712,0,7144
130714,0,7812
130714,1,4473
130718,0,4447
130721,0,5094
130721,1,18695
130724,0,1269
130725,1,7287
130726,0,2758
130726,1,1588
130728,0,18858
130732,0,8172
130733,0,34
130733,1,7684
130734,0,18275
130735,0,327
130736,0,4888
130742,0,112427
130743,0,4575
130743,1,783
130744,0,1507
130745,0,29388
130746,0,23610
130747,0,4457
130748,0,17897
130749,0,36142
130754,0,11871
130754,1,8383
130756,0,710
130757,0,34023
130757,1,13703
130759,0,3955
130761,0,4729
130762,0,16408
130764,1,12351
130766,0,1853
130767,0,4054
130768,0,9555
130769,0,26490
130771,0,2308
130772,0,2852
130774,0,11472
130774,1,21711
130777,0,1651
130778,0,2288
130778,1,9867
130780,0,13665
130781,0,98609
130782,0,15979
130782,1,2671
130783,0,16637
130783,1,45
130784,0,7945
130785,0,18127
130786,0,45001
130786,1,10669
130787,0,1758
130788,0,169103
130790,0,681
130791,0,104178
130791,1,21057
130794,0,36050
130795,0,40828
130796,0,1920
130797,0,5965
130798,0,9179
130799,0,43966
130802,0,951
130803,0,223
130803,1,4190
130804,0,83766
130804,1,7415039
130805,1,6984
130808,0,39065
130809,0,12974
130810,0,3507
130814,0,159520
130814,1,2918
130817,0,328199
130819,0,10983
130819,1,1723
130821,1,1293539
130825,0,8007
130825,1,82
130826,0,65581
130827,0,3302
130828,0,12855
130829,0,23899
130831,0,16100
130833,0,172674
130834,0,522850
130837,0,5905
130838,0,147063
130838,1,27049
130839,0,3522
130844,0,15802
130845,0,20532
130846,0,4518
130847,0,11574
130849,0,7871
130850,0,645
130850,1,16419
130851,0,4544
130852,0,3243
130853,0,14082
130854,0,6976
130856,1,6653
130860,1,7601
130861,0,5629
130862,0,24792
130865,1,36796
130868,0,1401
130872,0,191430
130872,1,21643
130874,0,3200
130875,0,7513
130877,0,7872
130877,1,50238
130878,0,14443
130880,0,11184
130882,0,10693
130882,1,6733
130885,0,7685
130885,1,23411
130886,0,393479
130887,0,132554
130889,0,12432
130890,0,49487
130890,1,6875
130901,0,2927
130902,0,17003
130903,0,1321
130903,1,60857
130904,0,69947
130904,1,6743
130905,0,17388
130906,0,93756
130908,0,1873
130914,0,12957
130919,0,47385
130920,0,43527
130921,0,338999
130925,0,17162
130925,1,10602
130927,0,163206
130929,0,8986
130929,1,51513
130930,0,1671
130937,0,1588019
130938,0,19012
130938,1,2162
130939,1,5288
130940,0,18834
130941,0,17205
130943,0,18143
130943,1,494
130944,0,77
130945,0,3428
130949,0,76728
130949,1,216329
130950,0,5066
130950,1,3329
130953,0,27508
130955,0,2889
130956,0,4712
130962,0,2498
130963,0,1875
130964,0,2381
130967,0,361891
130968,0,84032
130969,1,3592
130973,0,8577
130974,0,4421
130976,0,11110
130977,0,1567
130979,0,488
130982,0,55583
130983,0,749
130986,0,163997
130988,0,42210
130988,1,84176
130989,0,1377
130989,1,4037
130993,0,172820
131003,0,561
131005,0,17098
131005,1,21511
131006,0,9777
131007,0,34986
131007,1,13205
131008,0,1046
131008,1,6034
131009,0,29206
131010,0,8510
131011,0,10986
131013,0,3523
131014,0,15528
131014,1,73521
131016,0,3852843
131017,0,353600
131019,0,1675
131021,0,4137
131023,0,10700
131024,0,5713
131025,0,112329
131026,0,61
131026,1,2021477
131027,0,130
131029,1,20882
131030,0,15
131030,1,7211
131031,0,114457
131032,0,50408
131034,0,4246
131034,1,3249
131035,0,895
131036,0,25335
131037,0,4555
131038,0,12252
131039,0,13635
131041,0,809
131041,1,42798
131042,0,4361
131043,0,89336
131044,0,33756
131045,0,197422
131046,0,22524
131046,1,1560
131047,0,756
131048,0,3327534
131049,0,2552
131050,0,203
131050,1,2104
131051,0,43247
131051,1,5105
131052,0,46985
131055,0,22426
131056,0,7970
131056,1,17699
