HocoNum,TechType,HighSpeed,population,state
130068,DSL,0,23002,AL
130077,DSL,0,3124030,AL
130077,FTTH,0,8268,AL
130127,DSL,0,606,AL
130137,DOCSIS,0,3099,AL
130159,DOCSIS,0,107494,AL
130159,DOCSIS,1,262218,AL
130183,DOCSIS,0,110271,AL
130210,DSL,0,2615,AL
130228,DSL,0,651143,AL
130228,FTTH,0,5993,AL
130235,DOCSIS,0,1758566,AL
130258,DSL,0,46302,AL
130317,DOCSIS,1,809450,AL
130348,DOCSIS,0,40930,AL
130418,DSL,0,14912,AL
130471,DSL,0,4622,AL
130587,DSL,0,595257,AL
130587,FTTH,0,595257,AL
130587,Other,0,595257,AL
130597,DSL,0,26684,AL
130804,DOCSIS,0,56,AL
130804,DOCSIS,1,473106,AL
130844,DSL,0,16157,AL
130851,DSL,0,3863,AL
130851,FTTH,0,681,AL
130861,DSL,0,5993,AL
130861,FTTH,0,5993,AL
130902,DSL,0,7487,AL
130902,FTTH,0,5415,AL
131038,DOCSIS,0,5590,AL
131038,DSL,0,6429,AL
131038,FTTH,0,613,AL
131038,Other,0,137,AL
131086,DSL,0,3216,AL
131086,FTTH,0,2150,AL
131132,DOCSIS,0,2897,AL
131132,DSL,0,7913,AL
131132,FTTH,0,6321,AL
131302,DSL,0,294,AL
131310,DSL,0,56826,AL
131310,FTTH,0,1007,AL
131311,DSL,0,15437,AL
131311,FTTH,0,1115,AL
131352,DOCSIS,0,116355,AL
131413,DSL,0,95712,AL
131480,DOCSIS,0,624681,AL
131480,DSL,0,6079,AL
131513,DSL,0,21,AL
150292,DOCSIS,0,11068,AL
150296,DOCSIS,0,16811,AL
150296,DSL,0,54540,AL
160157,DOCSIS,0,16595,AL
170086,DOCSIS,0,831,AL
190016,Other,0,4074,AL
190308,DOCSIS,0,83932,AL
190341,Other,0,0,AL
190367,FTTH,0,2153,AL
190367,Other,0,38382,AL
190380,FTTH,0,105275,AL
200068,Other,0,427,AL
230029,Other,0,19884,AL
230038,Other,0,243,AL
230075,DOCSIS,0,16221,AL
240020,DOCSIS,0,9285,AL
240085,DOCSIS,0,14570,AL
240085,FTTH,0,14570,AL
250020,Other,0,7123,AL
250035,Other,0,1719,AL
250035,Other,1,343,AL
250046,DOCSIS,0,27,AL
250087,Other,0,964,AL
260000,DSL,0,9775,AL
260000,FTTH,0,75200,AL
260000,Other,0,668,AL
270086,DSL,0,2261,AL
270086,FTTH,0,3447,AL
270086,FTTH,1,89,AL
290028,FTTH,1,26430,AL
310033,DOCSIS,0,0,AL
310035,Other,0,558,AL
130011,FTTH,0,315,AK
130028,DSL,0,288704,AK
130029,DSL,0,12790,AK
130029,Other,0,9699,AK
130035,DOCSIS,0,0,AK
130035,FTTH,0,0,AK
130067,DSL,0,8139,AK
130077,Other,0,386,AK
130160,DSL,0,1739,AK
130275,DSL,0,13436,AK
130275,FTTH,0,13276,AK
130275,Other,0,111,AK
130349,DSL,0,6565,AK
130352,DSL,0,1962,AK
130534,DOCSIS,0,51147,AK
130534,DOCSIS,1,501277,AK
130534,DSL,0,13464,AK
130534,Other,0,25722,AK
130791,DSL,0,123763,AK
130791,FTTH,0,346,AK
130791,FTTH,1,8641,AK
130964,DOCSIS,0,2034,AK
130964,DSL,0,2381,AK
131226,DOCSIS,0,4376,AK
131226,DSL,0,16402,AK
140084,Other,0,12029,AK
150229,DSL,0,1539,AK
190019,Other,0,52506,AK
190281,DSL,0,3247,AK
190417,DOCSIS,0,216,AK
190417,DSL,0,166,AK
190417,Other,0,687,AK
260068,Other,0,329,AK
260068,Other,1,115,AK
300020,Other,0,270998,AK
130081,Other,0,82738,AZ
130103,DOCSIS,0,1151,AZ
130103,Other,0,60564,AZ
130132,Other,0,290,AZ
130183,DOCSIS,0,245378,AZ
130206,DSL,0,47,AZ
130206,FTTH,0,2984,AZ
130228,DSL,0,5305244,AZ
130228,FTTH,0,31750,AZ
130228,FTTH,1,5314,AZ
130258,DSL,0,221604,AZ
130258,FTTH,1,789,AZ
130317,DOCSIS,1,322831,AZ
130360,DOCSIS,0,17190,AZ
130360,DOCSIS,1,4199613,AZ
130418,DSL,0,162197,AZ
130509,FTTH,0,5804,AZ
130542,DSL,0,5784,AZ
130627,DSL,0,23758,AZ
130653,DSL,0,3745,AZ
130653,FTTH,0,1379,AZ
130653,FTTH,1,9238,AZ
130804,DOCSIS,0,3228,AZ
130804,DOCSIS,1,145394,AZ
130831,DSL,0,5709,AZ
130831,FTTH,0,4056,AZ
130986,DSL,0,64,AZ
130986,FTTH,0,64,AZ
131016,Other,0,1443916,AZ
131057,DSL,0,9412,AZ
131057,FTTH,0,335,AZ
131057,Other,0,588,AZ
131148,DSL,0,0,AZ
131148,FTTH,0,0,AZ
131191,Other,0,1010864,AZ
131208,Other,0,5673,AZ
131219,DSL,0,1863,AZ
131219,Other,0,498,AZ
131269,DOCSIS,0,170854,AZ
131269,DOCSIS,1,114284,AZ
131308,FTTH,0,0,AZ
131310,DOCSIS,0,267,AZ
131310,DSL,0,7965,AZ
131352,DOCSIS,0,161192,AZ
131357,DSL,0,7325,AZ
131357,FTTH,0,2080,AZ
131411,DSL,0,13421,AZ
131411,FTTH,0,17426,AZ
131411,Other,0,720,AZ
131470,DOCSIS,0,27041,AZ
