HocoNum,TechType,HighSpeed,population
130208,FTTH,0,3711
130208,Other,0,33192
130210,DSL,0,2615
130218,FTTH,1,40971
130218,Other,0,27027
130223,DSL,0,1108
130224,DSL,0,7196
130224,FTTH,1,1553
130226,DSL,0,10128
130226,FTTH,0,2039
130226,Other,0,12996
130227,DSL,0,7829
130227,FTTH,0,9228
130227,Other,0,415451
130228,DSL,0,42455778
130228,DSL,1,5828907
130228,FTTH,0,734045
130228,FTTH,1,4384893
130228,Other,0,491
130233,DSL,0,2279
130234,DSL,0,8966
130234,FTTH,1,19681
130234,Other,0,288598
130235,DOCSIS,0,1891471
130235,DOCSIS,1,100574665
130235,FTTH,0,10306
130235,FTTH,1,60229
130237,DOCSIS,0,16453
130238,DSL,0,8521
130238,FTTH,0,4474
130239,DSL,0,6020
130239,FTTH,1,11403
130240,DSL,0,16345
130240,FTTH,0,640
130242,DOCSIS,0,68243
130242,DOCSIS,1,27050
130242,DSL,0,40227
130242,FTTH,0,4445
130242,FTTH,1,2776
130243,FTTH,0,5779
130244,DSL,0,25770
130244,FTTH,1,4839
130245,DSL,0,70393
130245,FTTH,1,94
130250,DSL,0,3423
130250,FTTH,0,1304
130250,Other,0,1287
130252,DSL,0,17219
130252,FTTH,0,16783
130254,DOCSIS,0,20180
130254,DSL,0,1467830
130254,FTTH,1,1321579
130258,DSL,0,33486953
130258,FTTH,0,10923883
130259,DSL,0,4039
130259,FTTH,1,6556
130263,DOCSIS,0,13310
130263,DSL,0,7907
130263,FTTH,0,729
130264,FTTH,1,19802
130265,DOCSIS,0,4137
130265,DSL,0,11990
130265,FTTH,0,3318
130266,DOCSIS,0,10907
130266,DSL,0,16420
130266,FTTH,0,2628
130267,DSL,1,1198
130267,FTTH,1,5211
130268,DSL,0,3768
130268,FTTH,0,1868
130269,DOCSIS,0,758
130269,DSL,0,4756
130269,FTTH,0,7429
130270,FTTH,0,4526
130271,DSL,0,21994
130271,FTTH,1,21994
130272,DOCSIS,0,8973
130274,DSL,0,422
130274,FTTH,0,214
130275,DSL,0,13108
130275,FTTH,1,12995
130275,Other,0,28
130278,DOCSIS,0,28472
130278,FTTH,1,1303
130279,FTTH,0,7388
130279,Other,0,105544
130281,DOCSIS,0,29702
130282,DOCSIS,0,25738
130282,FTTH,0,25738
130283,FTTH,0,4851
130285,DSL,0,3520
130285,FTTH,0,4889
130285,Other,0,3520
130287,DSL,0,654
130288,FTTH,1,34831
130289,DOCSIS,0,11893
130289,DSL,0,8941
130290,DSL,0,803
130290,FTTH,1,12902
130291,DOCSIS,0,2593
130291,DSL,0,3606
130291,FTTH,0,28
130292,DSL,0,421023
130299,DSL,0,5390
130299,FTTH,0,3644
130300,DSL,0,13046
130300,FTTH,1,20540
130302,FTTH,0,9178
130303,DOCSIS,0,4388
130305,FTTH,1,3221
130307,DSL,0,1214
130307,FTTH,0,2738
130307,Other,0,7887
130309,FTTH,1,1373
130309,Other,0,149722
130310,FTTH,0,4439
130311,DSL,0,13120
130311,FTTH,1,2511
130311,Other,0,25206
130312,DSL,0,155
130312,FTTH,0,3296
130314,FTTH,1,8219
130315,DSL,0,18247
130315,FTTH,0,58
130315,FTTH,1,2246
130315,Other,0,44509
130316,Other,0,269895
130317,DOCSIS,0,170094
130317,DOCSIS,1,110547296
130317,FTTH,1,17028
130321,FTTH,0,7779
130322,DOCSIS,1,83926
130324,FTTH,0,463
130324,Other,0,5470
130325,Other,0,3751
130326,DSL,0,2777
130326,Other,0,2699
130327,DSL,0,1515
130327,FTTH,0,2119
130329,DSL,0,9776
130329,DSL,1,99
130329,Other,0,47986
130331,Other,0,225717
130334,DOCSIS,0,73728
130334,DSL,0,3760
130334,FTTH,0,14376
130335,DOCSIS,0,160563
130335,DSL,0,4386644
130335,FTTH,0,518569
130335,FTTH,1,433639
130335,Other,0,14189
130337,DOCSIS,0,18326
130337,FTTH,0,36609
130337,Other,0,34521
130338,DSL,0,10520
130338,FTTH,1,55586
130338,Other,0,1100
130340,DOCSIS,0,60799
130343,DSL,0,6358
130344,DSL,0,5639
130344,Other,0,5639
130345,DSL,0,3961
130345,FTTH,0,1903
130346,DSL,0,3968
130346,FTTH,0,4528
130346,Other,0,2400
130347,FTTH,0,3272
130349,DSL,0,6472
130352,DSL,0,2145
130353,FTTH,0,2505
130353,Other,0,1257
130360,DOCSIS,0,22826
130360,DOCSIS,1,20769399
130360,FTTH,1,1120882
130361,DSL,0,1150
130361,FTTH,0,4059
130362,DSL,0,13642
130362,FTTH,0,14372
130363,DSL,0,4782
130363,FTTH,1,10707
130364,DSL,0,30952
130364,FTTH,1,18959
130366,DSL,0,19521
130366,FTTH,0,4746
130368,DSL,0,736
130369,DSL,0,2024
130369,FTTH,0,4942
130370,DOCSIS,0,830529
130370,DOCSIS,1,18426286
130370,FTTH,1,183136
130374,DSL,0,7432
130374,FTTH,0,7432
130374,Other,0,7432
130375,DSL,0,8853
130375,FTTH,0,3072
130378,DOCSIS,0,3403
130378,DSL,0,2872
130378,FTTH,0,5531
130378,Other,0,5684
130380,DSL,0,11077
130380,FTTH,0,3154
130380,FTTH,1,807
130380,Other,0,1548
130385,DOCSIS,1,51053
130385,DSL,0,15257
130385,Other,0,21209
130386,DSL,0,24637
130386,FTTH,1,6830
130387,FTTH,1,25520
130387,Other,0,1166
130390,DSL,0,6592
130390,FTTH,1,13094
130390,Other,0,13094
130391,DOCSIS,0,12075
130391,DSL,0,3787
130391,FTTH,0,3734
130393,DSL,0,15238
130393,FTTH,0,15238
130395,DSL,0,10864
130396,DSL,0,45609
130396,FTTH,0,7743
130396,Other,0,5641
130398,DSL,0,5409
130398,FTTH,0,5409
130399,DSL,0,1699
130399,FTTH,0,8543
130400,DSL,0,28450
130400,FTTH,0,27317
130400,Other,0,27778
130401,DSL,0,24522
130401,FTTH,0,113
130401,Other,0,347
130402,Other,0,799
130405,FTTH,1,19276
130416,DOCSIS,0,10424
130416,DSL,0,10491
130416,FTTH,0,16148
130419,FTTH,1,3400
130420,DSL,0,4809
130420,FTTH,0,1460
130421,DSL,0,2061
130421,FTTH,0,2508
130423,DOCSIS,0,11125
130423,DOCSIS,1,160
130423,DSL,0,18426
130423,FTTH,1,18869
130425,DSL,0,34723
130425,Other,0,6125
130427,DOCSIS,0,124154
130427,DSL,0,86483
130427,FTTH,0,22554
130427,FTTH,1,1247
130429,DOCSIS,0,69886
130429,Other,0,5929
130431,DSL,0,384
130431,FTTH,0,485
130432,DOCSIS,0,37474
130432,DSL,0,130413
130432,FTTH,1,107673
130433,DSL,0,3273
130433,Other,0,2100
130437,FTTH,0,1
130437,FTTH,1,28
130437,Other,0,6112
130437,Other,1,28
130439,DSL,0,8670
130439,FTTH,0,2351
130440,DSL,0,77347
130440,FTTH,0,3244
130444,DSL,0,10189
130444,Other,0,4524
130445,DOCSIS,0,51201
130446,DOCSIS,0,13548
130448,DSL,0,5650
130448,FTTH,0,524
130448,Other,0,21458
130449,DSL,0,3594
130449,FTTH,0,1280
130450,FTTH,0,2927
130453,DOCSIS,0,41800
130453,DSL,0,32084
130453,FTTH,0,24100
130453,FTTH,1,4522
130454,FTTH,0,2407
130455,DSL,0,25161
130455,FTTH,0,6200
130455,FTTH,1,87730
130458,DSL,0,8107
130458,FTTH,0,13523
130458,FTTH,1,63571
130458,Other,0,82130
130459,DOCSIS,1,535246
130459,FTTH,1,535246
130460,FTTH,0,2539
130464,DSL,0,35628
130464,FTTH,0,23090
130464,FTTH,1,85
130464,Other,0,4979
130472,FTTH,0,6703
130472,Other,0,7053
130473,DSL,0,4185
130473,FTTH,1,4006
130475,DSL,0,8681
130475,FTTH,1,8681
130476,DOCSIS,0,1039
130476,DSL,0,4310
130476,FTTH,0,3505
130476,FTTH,1,2
130477,DOCSIS,0,229
130477,DSL,0,5959
130477,FTTH,0,6075
130477,Other,0,796
130478,FTTH,0,1235
130479,DSL,0,7116
130479,FTTH,0,3082
130481,DSL,0,618
130481,FTTH,0,1489
130481,Other,0,90418
130482,DSL,0,6415
130482,FTTH,1,6415
130483,DSL,0,1088
130483,FTTH,1,5377
130484,DOCSIS,1,4951
130484,DSL,0,4951
130484,FTTH,0,4973
130484,FTTH,1,11950
130485,DOCSIS,0,37432
130485,DSL,0,37432
130485,FTTH,0,37432
130485,Other,0,37432
130487,DSL,0,806
130487,FTTH,0,574
130488,DSL,0,1102
130489,DSL,0,307
130489,FTTH,1,1235
130489,Other,0,2899
130490,DSL,0,185398
130490,FTTH,1,60758
130490,Other,0,26107
130491,DOCSIS,0,130
130492,DSL,0,8220
130492,FTTH,0,134
130492,Other,0,196913
130494,FTTH,0,9066
130494,FTTH,1,9350
130494,Other,0,588
130495,FTTH,0,574
130497,DOCSIS,0,30
130497,DOCSIS,1,383997
130497,DSL,0,27196
130497,FTTH,0,955
130497,FTTH,1,8881
130500,DSL,0,1231
130500,FTTH,0,1401
130500,Other,0,161490
130502,DSL,0,2749
130502,FTTH,0,10302
130502,Other,0,15885
130503,DSL,0,1242
130507,DSL,1,1215
130507,FTTH,1,43149
130509,FTTH,0,1548
130511,DSL,0,1710
130511,Other,0,29769
130513,Other,0,126526
130514,DSL,0,1960
130514,FTTH,0,1338
130520,DOCSIS,1,49612
130524,DSL,0,4051
130524,FTTH,1,3312
130526,DSL,0,5819
130526,FTTH,1,20861
130527,DSL,0,5340
130527,FTTH,1,10206
130527,Other,0,120973
130528,FTTH,0,10
130528,FTTH,1,1559
130528,Other,0,4662
130532,DSL,0,1553
130532,FTTH,0,644
130532,Other,0,4228
130534,DOCSIS,0,19710
130534,DOCSIS,1,535340
130534,DSL,0,13546
130534,Other,0,26579
130535,DSL,0,14559
130535,FTTH,0,18495
130538,DSL,0,5621
130538,FTTH,0,3487
130539,DSL,0,3803
130539,FTTH,0,16402
130539,FTTH,1,1338
130540,DOCSIS,0,27250
130542,DSL,0,19170
130543,DSL,0,2949
130543,FTTH,0,2092
130544,DSL,0,3374
130544,FTTH,0,271
130545,DSL,0,1563
130546,DOCSIS,0,2040
130546,DSL,0,2463
130546,FTTH,0,21514
130546,FTTH,1,232
130546,Other,0,137701
130550,DOCSIS,0,52372
130550,DSL,0,66635
130550,DSL,1,90
130550,FTTH,0,54525
130551,FTTH,0,5575
130552,DSL,0,21836
130553,FTTH,1,887
130553,Other,0,149515
130555,FTTH,0,1134
130557,DSL,0,14656
130557,FTTH,0,3237
130558,DSL,0,5153
130558,FTTH,0,8285
130559,DSL,0,1814
130559,FTTH,0,7080
130559,Other,0,11912
130560,DSL,0,21898
130560,DSL,1,6
130560,FTTH,1,34347
130561,DSL,0,9558
130561,FTTH,1,2085
130565,FTTH,1,3692
130567,Other,0,14101
130569,DOCSIS,0,23359
130569,DSL,0,42420
130569,FTTH,0,1894
130570,DSL,0,6858
130570,FTTH,0,5002
130570,Other,0,12280
130574,FTTH,1,3673
130576,DOCSIS,1,63923
130578,DOCSIS,0,34641
130578,DSL,0,100774
130578,FTTH,1,109212
130580,DSL,0,5992
130580,FTTH,0,15
130581,DOCSIS,0,710
130581,DSL,0,954
130581,FTTH,0,5117
130581,Other,0,3541
130583,DSL,0,1653
130583,FTTH,1,7397
130583,Other,0,8610
130584,DSL,0,7105
130584,FTTH,0,3062
130584,FTTH,1,6635
130584,Other,0,40634
130586,DSL,0,8372
130586,FTTH,1,57773
130586,Other,0,1911
130587,DSL,0,1374623
130587,FTTH,0,1371638
130587,Other,0,1371638
130588,DSL,0,10274
130588,FTTH,0,12287
130588,Other,0,5471
130588,Other,1,307
130589,DOCSIS,0,132008
130589,DSL,0,62907
130589,FTTH,0,87628
130590,DSL,0,2128
130590,Other,0,5251
130591,DOCSIS,0,76320
130591,DOCSIS,1,366623
130591,FTTH,0,824
130591,FTTH,1,21248
130592,FTTH,0,2872
130594,Other,0,87369
130595,DSL,0,1262152
130595,FTTH,1,687829
130596,FTTH,1,4208
130597,DSL,0,20915
130597,FTTH,0,5796
130598,DSL,0,582
130598,FTTH,0,20840
130598,Other,0,16628
130601,DSL,0,392
130602,DOCSIS,0,997
130602,DSL,0,14350
130602,FTTH,0,3187
130602,Other,0,18164
130603,FTTH,0,1667
130603,Other,0,3318
130604,DSL,0,2895
130604,FTTH,0,49
130605,DSL,0,973
130605,FTTH,0,851
130605,Other,0,29761
130606,DOCSIS,1,38057
130606,FTTH,1,47337
130606,Other,0,270084
130607,DSL,0,15177
130607,FTTH,0,3161
130609,DSL,0,959
130609,DSL,1,12
130609,FTTH,1,5434
130610,DSL,0,1719
130612,DSL,0,28640
130612,FTTH,1,13200
130612,Other,0,22
130613,DSL,0,1279
130613,FTTH,0,638
130614,DSL,0,8835
130614,Other,0,40863
130616,DOCSIS,0,428
130616,FTTH,0,6566
130617,DOCSIS,0,59774
130617,DSL,0,52441
130617,FTTH,1,77825
130619,DSL,0,80777
130620,DOCSIS,1,205403
130620,DSL,0,225424
130620,FTTH,0,46887
130620,FTTH,1,165487
130621,DOCSIS,0,9307
130621,FTTH,0,4040
130622,DSL,0,1073
130623,DOCSIS,0,30312
130623,DSL,0,12077
130623,DSL,1,6556
130623,FTTH,0,28165
130623,FTTH,1,135650
130623,Other,0,5432
130623,Other,1,1777
130624,DSL,0,40377
130624,FTTH,1,5432
130624,Other,0,162337
130626,DSL,0,1381
130626,FTTH,0,1381
130630,DSL,0,1738
130630,FTTH,1,9412
130630,Other,0,702
130631,FTTH,1,2685
130631,Other,0,838
130634,Other,0,22768
130641,DOCSIS,1,6959
130641,FTTH,1,341
130645,DSL,0,5088
130647,Other,0,3101
130648,DOCSIS,0,18975
130651,DOCSIS,0,3034
130651,DSL,0,6114
130651,FTTH,0,2128
130651,Other,0,1109
130655,DOCSIS,0,88232
130655,DOCSIS,1,1776
130655,DSL,0,14513
130657,DSL,0,2460
130657,FTTH,1,3856
130662,DSL,0,9813
130662,FTTH,0,30338
130663,Other,0,253383
130665,Other,0,17513
130667,DSL,0,22075
130668,DOCSIS,0,10391
130673,DSL,0,34132
130673,FTTH,0,5815
130673,Other,0,51359
130674,DSL,0,2088
130674,FTTH,0,113
130677,DSL,0,62
130677,FTTH,0,5235
130678,DSL,0,3172
130678,FTTH,0,857
130679,DSL,0,881
130679,FTTH,0,328
130681,DSL,0,3785
130682,FTTH,1,6777
130683,DSL,0,8154
130684,DSL,0,2038
130684,FTTH,0,5480
130684,Other,0,441940
130685,DSL,0,90592
130685,FTTH,0,90592
130685,Other,0,90592
130686,DSL,0,15308
130686,FTTH,1,8248
130690,DOCSIS,0,1095
130690,FTTH,0,21
130691,DSL,0,205
130691,FTTH,1,1616
130692,FTTH,0,564
130692,FTTH,1,10768
130692,Other,0,63454
130693,FTTH,0,3145
130695,DSL,0,679
130695,FTTH,0,1368
130696,DSL,0,4269
130696,FTTH,1,1341
130696,Other,0,2111
130697,DSL,0,8137
130697,FTTH,0,1154
130697,FTTH,1,12899
130697,Other,0,54473
130699,DSL,0,186
130705,DOCSIS,0,16369
130707,Other,0,29841
130708,DSL,0,3008
130708,FTTH,0,1565
130708,Other,0,24
130709,DSL,0,2603
130709,FTTH,0,816
130710,DSL,0,2095
130710,FTTH,0,240
130711,FTTH,0,1082
130711,Other,0,262
130712,DSL,0,7144
130712,FTTH,0,6337
130714,DOCSIS,0,4074
130714,DSL,0,5896
130714,FTTH,0,9
130714,FTTH,1,4473
130718,DSL,0,4447
130721,DSL,0,7109
130721,FTTH,0,13068
130721,FTTH,1,7078
130721,Other,0,219
130724,DOCSIS,0,1269
130725,FTTH,1,7287
130726,DSL,0,4344
130726,FTTH,1,1588
130728,DSL,0,636
130728,FTTH,0,2036
130728,Other,0,16219
130732,FTTH,1,3685
130733,DSL,0,1624
130733,FTTH,1,7684
130733,Other,0,53
130734,DOCSIS,0,17462
130734,DSL,0,4571
130735,DSL,0,327
130736,DSL,0,4888
130742,DSL,0,6889
130742,FTTH,0,9580
130742,Other,0,112380
130743,DSL,0,4265
130743,DSL,1,783
130743,FTTH,0,2960
130744,DSL,0,1450
130744,FTTH,0,57
130745,DSL,0,20083
130745,FTTH,0,23176
130746,DOCSIS,0,19087
130746,DSL,0,18996
130746,FTTH,0,726
130747,DSL,0,4457
130748,FTTH,0,717
130748,Other,0,17180
130749,Other,0,36560
130754,DSL,0,13515
130754,FTTH,1,10665
130756,DSL,0,700
130756,Other,0,700
130757,DOCSIS,0,296
130757,DOCSIS,1,45519
130757,DSL,0,704
130757,DSL,1,12950
130757,FTTH,1,24
130759,FTTH,0,3955
130762,DSL,0,16408
130764,DOCSIS,1,12351
130766,DSL,0,791
130766,FTTH,0,1368
130767,DSL,0,4055
130767,FTTH,0,1505
130768,DSL,0,4198
130768,FTTH,0,162
130768,FTTH,1,5328
130769,DOCSIS,0,19267
130769,DSL,0,6640
130769,FTTH,0,3290
130771,FTTH,0,2393
130772,DSL,0,2852
130772,Other,0,2852
130774,FTTH,1,21711
130774,Other,0,12581
130777,FTTH,0,1651
130778,DSL,0,10191
130778,FTTH,1,9867
130778,Other,0,1824
130780,DOCSIS,0,8141
130780,DSL,0,4460
130780,FTTH,0,11512
130781,DSL,0,16035
130781,FTTH,0,18
130781,Other,0,17384
130782,DOCSIS,0,5063
130782,DSL,0,4782
130782,FTTH,0,2334
130782,FTTH,1,2671
130782,Other,0,9396
130783,DSL,0,2047
130783,FTTH,0,14797
130783,FTTH,1,45
130784,DOCSIS,0,1090
130784,DSL,0,6556
130784,FTTH,0,134
130785,DOCSIS,0,14705
130785,DSL,0,14705
130786,DOCSIS,0,44688
130786,DSL,0,16133
130786,FTTH,0,471
130786,FTTH,1,10669
130787,DSL,0,782
130787,FTTH,0,119
130787,Other,0,1092
130788,DOCSIS,0,169891
130788,FTTH,0,10738
130790,Other,0,681
130791,DSL,0,125196
130791,FTTH,1,23806
130791,Other,0,73799
130794,DSL,0,36050
130794,FTTH,0,14457
130795,DOCSIS,0,22553
130795,DSL,0,41492
130795,FTTH,0,1030
130796,FTTH,0,2433
130797,FTTH,0,5965
130798,DSL,0,9140
130798,FTTH,0,4389
130798,FTTH,1,5
130799,DSL,0,7463
130799,FTTH,0,34832
130799,Other,0,13270
130802,DSL,0,908
130802,FTTH,0,478
130803,FTTH,1,4195
130804,DOCSIS,0,252929
130804,DOCSIS,1,7257991
130805,FTTH,1,7031
130808,Other,0,39065
