HocoNum,HighSpeed,population
130002,0,36838
130005,0,93
130008,0,73206
130008,1,44707
130010,0,82610
130011,0,335
130012,0,72117
130012,1,33157
130017,0,347
130018,0,48291
130019,0,768175
130019,1,102445
130028,0,294550
130029,0,14375
130031,1,9650
130032,0,11299
130034,0,41155
130035,1,8736
130036,0,3298
130037,0,39194
130039,0,42570
130040,0,31994
130043,0,741
130044,0,38382
130045,0,13956
130046,0,1916
130057,0,35773
130058,0,1759
130058,1,10632
130059,0,452347
130059,1,390
130061,0,9296
130062,0,406110
130065,0,78322
130066,0,5733
130067,0,8139
130068,0,30689
130069,0,14898
130070,0,11566
130071,0,26075
130071,1,947765
130073,0,3397
130074,0,197968
130074,1,28301
130077,0,120713230
130077,1,1251295
130079,0,15813
130079,1,5113254
130081,0,342901
130081,1,668
130082,0,55049
130082,1,22441
130083,0,2127
130084,0,1191
130086,0,45325
130087,0,2506
130090,0,8903
130092,0,1995
130093,0,30328
130094,0,12918
130095,0,17558
130096,0,2604
130097,0,130720
130098,0,96232
130103,0,78609
130104,0,17354
130105,0,26172
130106,0,8782
130106,1,3323
130107,0,5109
130108,1,26787
130112,0,38302
130112,1,64597
130114,0,19936
130115,0,27957
130116,0,3037168
130118,0,2101
130119,0,1032
130120,0,10671
130122,0,280778
130122,1,2920
130123,0,42253
130124,0,38048
130126,0,23535
130127,0,166160
130130,0,31513
130130,1,6723
130132,0,69047
130133,0,35934
130133,1,1129
130134,0,3792
130136,0,26666
130136,1,3886
130137,0,249612
130137,1,559468
130138,0,596
130138,1,6589
130139,0,1681
130140,0,16033
130141,0,3469
130142,0,35750
130142,1,14516
130144,0,18078
130146,0,732051
130148,0,3504
130149,0,34011
130150,0,148066
130151,1,17285
130152,0,12613
130153,0,10298
130154,0,6830
130154,1,12660
130160,0,1739
130161,0,284110
130168,0,8136
130169,0,5650
130170,0,3115
130171,0,531
130175,0,69471
130176,0,30751
130176,1,39466
130178,0,234
130179,0,9752
130183,0,6987
130183,1,3224793
130184,0,22947
130189,0,10807
130192,0,5776
130193,0,15151
130195,0,3072
130196,0,10117
130196,1,19025
130199,0,9291
130201,0,3055
130202,0,49395
130203,0,2325
130204,0,3902
130206,0,38518
130207,0,1505
130208,0,61588
130210,0,2615
130218,0,870
130218,1,40971
130223,0,1108
130224,0,8747
130224,1,0
130226,0,19751
130227,0,366959
130228,0,46065924
130228,1,3005154
130233,0,2279
130234,0,118259
130234,1,17451
130235,0,60265230
130235,1,40769733
130237,0,16453
130238,0,8521
130239,0,6889
130239,1,10639
130240,0,16345
130241,0,14993
130242,0,118233
130243,0,5779
130244,0,29677
130245,0,70393
130250,0,4717
130252,0,22374
130254,0,764059
130254,1,1206665
130258,0,30104937
130258,1,2477045
130259,0,2314
130259,1,6424
130263,0,15912
130264,0,273
130264,1,19154
130265,0,14934
130266,0,27771
130267,1,5380
130268,0,5639
130269,0,11330
130270,0,4526
130271,1,21994
130272,0,8973
130274,0,422
130275,0,13459
130278,0,29309
130279,0,105522
130281,0,29702
130282,0,25738
130283,0,4851
130285,0,4857
130287,0,654
130288,1,34831
130289,0,12659
130290,0,4248
130290,1,6060
130291,0,6199
130292,0,299558
130299,0,5457
130300,0,3285
130300,1,20540
130302,0,9144
130303,0,7417
130305,1,3096
130307,0,9400
130309,0,117097
130309,1,985
130310,0,3879
130311,0,36434
130312,0,3296
130314,1,9582
130315,0,59696
130316,0,269895
130317,0,520138
130317,1,108262412
130321,0,7593
130322,1,67727
130324,0,5184
130325,0,3751
130326,0,7496
130327,0,3634
130329,0,52610
130329,1,0
130331,0,225717
130334,0,91709
130335,0,1068960
130335,1,529695
130337,0,36587
130338,0,26773
130338,1,28305
130340,0,60799
130343,0,6358
130344,0,5246
130345,0,5830
130346,0,5523
130347,0,3248
130349,0,6569
130352,0,2109
130353,0,3323
130360,0,22706
130360,1,20583357
130361,0,5209
130362,0,19851
130363,0,3018
130363,1,10491
130364,0,32467
130364,1,1047
130366,0,21768
130367,0,2772
130368,0,806
130369,0,6746
130370,0,744561
130370,1,17611486
130374,0,7285
130375,0,10999
130378,0,9066
130380,0,14269
130385,0,35383
130385,1,45280
130386,0,27068
130387,0,417
130387,1,24584
130390,0,5225
130390,1,12263
130391,0,13537
130393,0,14986
130395,0,9637
130396,0,51294
130398,0,6085
130399,0,8600
130400,0,22313
130401,0,30150
130402,0,799
130405,0,18473
130405,1,19276
130416,0,17131
130419,0,159
130419,1,2563
130420,0,4877
130421,0,2507
130423,0,33301
130425,0,43405
