HocoNum,TechType,HighSpeed,population,state
130068,DSL,0,23002,AL
130068,FTTH,0,3083,AL
130077,DSL,0,2975305,AL
130077,FTTH,0,8599,AL
130077,FTTH,1,175812,AL
130127,DSL,0,504,AL
130137,DOCSIS,0,3099,AL
130183,DOCSIS,1,110051,AL
130210,DSL,0,2615,AL
130228,DSL,0,663272,AL
130228,FTTH,0,11350,AL
130235,DOCSIS,0,614137,AL
130235,DOCSIS,1,1586221,AL
130235,FTTH,1,151,AL
130258,DSL,0,53133,AL
130317,DOCSIS,1,835560,AL
130471,DSL,0,4449,AL
130587,DSL,0,595257,AL
130587,FTTH,0,595257,AL
130587,Other,0,595257,AL
130597,DSL,0,26684,AL
130804,DOCSIS,1,473162,AL
130844,DSL,0,16157,AL
130851,DSL,0,3863,AL
130851,FTTH,0,681,AL
130861,DSL,0,5194,AL
130861,FTTH,0,435,AL
130902,DSL,0,1633,AL
130902,FTTH,0,15370,AL
131038,DOCSIS,0,5590,AL
131038,DSL,0,6429,AL
131038,FTTH,0,613,AL
131038,Other,0,137,AL
131086,DSL,0,3216,AL
131086,FTTH,0,2150,AL
131310,DSL,0,56652,AL
131310,FTTH,0,1012,AL
131311,DSL,0,15907,AL
131311,FTTH,0,1363,AL
131404,DOCSIS,0,50867,AL
131413,DSL,0,78287,AL
131413,FTTH,0,9264,AL
131480,DOCSIS,0,63673,AL
131480,DOCSIS,1,550384,AL
131480,DSL,0,29303,AL
131480,FTTH,1,538066,AL
150221,DSL,0,592,AL
150292,DOCSIS,0,10970,AL
150296,DOCSIS,0,14471,AL
150296,DSL,0,43625,AL
150296,FTTH,0,11858,AL
160157,DOCSIS,0,12629,AL
170086,DOCSIS,0,24105,AL
190308,DOCSIS,0,83932,AL
190341,Other,0,13178,AL
190367,FTTH,0,2153,AL
190367,Other,0,38382,AL
190380,DOCSIS,0,2897,AL
190380,DSL,0,11821,AL
190380,FTTH,0,5224,AL
190380,FTTH,1,108671,AL
230029,Other,0,19884,AL
240085,DOCSIS,0,14570,AL
240085,FTTH,0,14570,AL
250020,Other,0,11388,AL
250035,Other,0,1820,AL
250035,Other,1,478,AL
250087,Other,0,1242,AL
260000,DSL,0,49325,AL
260000,FTTH,0,19315,AL
260000,FTTH,1,61498,AL
260000,Other,0,749,AL
290028,FTTH,1,23112,AL
300164,Other,0,26,AL
310035,Other,0,270,AL
310040,Other,0,6,AL
320042,Other,0,44954,AL
320052,DSL,0,1167,AL
320052,Other,0,0,AL
320094,Other,0,2928,AL
320121,DSL,0,14871,AL
330084,Other,0,132449,AL
340087,Other,0,44194,AL
350060,Other,0,53223,AL
350067,Other,0,49356,AL
350079,Other,0,3346,AL
130011,FTTH,0,335,AK
130028,DSL,0,310429,AK
130029,DSL,0,12790,AK
130029,Other,0,9699,AK
130035,DOCSIS,0,0,AK
130035,FTTH,1,0,AK
130067,DSL,0,8139,AK
130077,Other,0,386,AK
130160,DSL,0,1739,AK
130275,DSL,0,13436,AK
130275,FTTH,1,13323,AK
130275,Other,0,28,AK
130349,DSL,0,6685,AK
130352,DSL,0,2109,AK
130534,DOCSIS,0,20325,AK
130534,DOCSIS,1,534452,AK
130534,DSL,0,12133,AK
130534,Other,0,26579,AK
130791,DSL,0,125187,AK
130791,FTTH,1,19893,AK
130964,DOCSIS,0,2034,AK
130964,DSL,0,2381,AK
131226,DOCSIS,0,4376,AK
131226,DSL,0,19242,AK
140084,Other,0,12283,AK
150229,DSL,0,1539,AK
190019,Other,0,73799,AK
190281,DSL,0,3633,AK
260068,Other,0,731,AK
260068,Other,1,0,AK
300020,Other,0,189294,AK
300164,Other,0,2,AK
330010,DSL,0,423,AK
330010,DSL,1,2,AK
330010,FTTH,0,423,AK
330010,FTTH,1,2,AK
330010,Other,0,423,AK
330010,Other,1,2,AK
330083,Other,0,510,AK
340079,Other,0,2239,AK
350036,Other,0,1676,AK
350037,Other,0,81,AK
130081,Other,0,95781,AZ
130103,DOCSIS,0,1641,AZ
130103,Other,0,65972,AZ
130132,DSL,0,83,AZ
130183,DOCSIS,1,238949,AZ
130206,DSL,0,47,AZ
130206,FTTH,0,2984,AZ
130228,DSL,0,5173892,AZ
130228,DSL,1,182876,AZ
130228,FTTH,0,44847,AZ
130228,FTTH,1,116512,AZ
130235,DOCSIS,1,164301,AZ
130258,DSL,0,309315,AZ
130317,DOCSIS,1,332748,AZ
130360,DOCSIS,0,22710,AZ
130360,DOCSIS,1,4181537,AZ
130360,FTTH,1,453345,AZ
130370,DOCSIS,0,25384,AZ
130370,DOCSIS,1,256462,AZ
130509,DSL,0,5513,AZ
130542,DSL,0,7298,AZ
130804,DOCSIS,1,145394,AZ
130831,DSL,0,5786,AZ
130831,FTTH,0,4056,AZ
131016,Other,0,1514437,AZ
131057,DSL,0,9766,AZ
131057,FTTH,0,461,AZ
131057,Other,0,476,AZ
131148,DSL,0,3608,AZ
131148,FTTH,0,3149,AZ
131167,DOCSIS,0,70027,AZ
131191,Other,0,1010864,AZ
131208,Other,0,13004,AZ
131219,DOCSIS,0,7214,AZ
131219,DSL,0,1863,AZ
131219,Other,0,1401,AZ
131310,DOCSIS,0,233,AZ
131310,DOCSIS,1,33,AZ
131310,DSL,0,9125,AZ
131357,DSL,0,2412,AZ
131357,FTTH,0,3744,AZ
131411,DSL,0,14560,AZ
131411,FTTH,1,15826,AZ
131411,Other,0,1195,AZ
140043,DSL,0,5597,AZ
140043,Other,0,5601,AZ
150200,DSL,0,33,AZ
150200,FTTH,0,1621,AZ
150200,FTTH,1,7690,AZ
170054,Other,0,1381,AZ
190155,Other,0,774,AZ
190192,DSL,0,23,AZ
190428,DSL,0,8350,AZ
190428,FTTH,0,5097,AZ
220013,Other,0,17283,AZ
240009,Other,0,171925,AZ
250009,Other,0,297029,AZ
260050,Other,0,56736,AZ
270101,Other,0,54260,AZ
270115,Other,0,798316,AZ
280026,DOCSIS,0,6178,AZ
280026,Other,0,6443,AZ
280035,Other,0,29255,AZ
290057,Other,0,4141,AZ
290083,Other,0,6131,AZ
300019,Other,0,38628,AZ
300019,Other,1,283,AZ
300063,Other,0,3023649,AZ
300069,Other,0,266,AZ
310014,Other,0,0,AZ
310015,Other,1,443,AZ
320051,Other,0,21697,AZ
320121,DSL,0,96955,AZ
330004,Other,0,8436,AZ
330045,Other,0,4761,AZ
340055,Other,0,271,AZ
350046,Other,0,6473,AZ
130069,DSL,0,14839,AR
130070,DSL,0,1160,AR
130070,FTTH,1,10486,AR
130077,DSL,0,1560280,AR
130077,FTTH,0,57080,AR
130077,FTTH,1,7119,AR
130124,DSL,0,173,AR
130127,DSL,0,684,AR
130132,DSL,0,0,AR
130183,DOCSIS,1,35835,AR
130224,DSL,0,8747,AR
130224,FTTH,1,0,AR
130228,DSL,0,553955,AR
130228,FTTH,0,10355,AR
130228,FTTH,1,177,AR
130317,DOCSIS,1,381872,AR
130340,DOCSIS,0,60799,AR
130360,DOCSIS,1,568236,AR
130360,FTTH,1,2792,AR
130370,DOCSIS,0,51217,AR
130370,DOCSIS,1,406763,AR
130386,DSL,0,25444,AR
130386,FTTH,1,5465,AR
130427,DOCSIS,0,65436,AR
130427,DSL,0,21635,AR
130427,FTTH,0,8090,AR
130492,Other,0,62044,AR
130497,DOCSIS,1,137822,AR
130497,FTTH,1,504,AR
130725,FTTH,1,4125,AR
130768,DSL,0,7366,AR
130768,FTTH,0,2461,AR
130772,DSL,0,2852,AR
130772,Other,0,2852,AR
130882,DSL,0,13214,AR
130882,FTTH,1,6442,AR
131108,DSL,0,1040,AR
131169,DSL,0,800,AR
131177,DSL,0,1311,AR
131214,DSL,0,7767,AR
131232,DSL,0,9845,AR
131232,FTTH,1,9920,AR
131232,Other,0,358,AR
131306,DOCSIS,0,15645,AR
131310,Other,0,1723,AR
131362,DSL,0,11322,AR
131413,DSL,0,252104,AR
131413,FTTH,0,7489,AR
131518,DOCSIS,0,3770,AR
131518,DSL,0,22599,AR
131518,FTTH,0,1332,AR
131518,FTTH,1,19438,AR
150206,DOCSIS,0,19676,AR
150206,DOCSIS,1,26579,AR
150334,DOCSIS,0,194248,AR
160116,DSL,0,17,AR
180041,DOCSIS,0,28125,AR
190053,Other,0,3153,AR
210092,Other,0,94945,AR
220008,DOCSIS,0,937,AR
230021,DOCSIS,0,40472,AR
230021,Other,0,36914,AR
230062,Other,0,219308,AR
230074,DSL,0,12704,AR
230074,DSL,1,2962,AR
230074,FTTH,0,3126,AR
230074,FTTH,1,1090,AR
260019,Other,0,216,AR
260019,Other,1,318,AR
260056,Other,1,1838,AR
270012,Other,0,19864,AR
270016,Other,0,521,AR
270090,DSL,0,348843,AR
270090,FTTH,0,348843,AR
270090,Other,0,348843,AR
270096,Other,0,1345,AR
290004,Other,0,144,AR
300059,DOCSIS,0,16259,AR
300059,FTTH,0,15007,AR
300184,DOCSIS,0,20171,AR
310040,Other,0,20,AR
320052,DSL,0,2,AR
320052,Other,0,78,AR
340008,DSL,0,11881,AR
340008,FTTH,1,11881,AR
130062,Other,0,404917,CA
130077,DSL,0,26194173,CA
130077,FTTH,0,312868,CA
130077,FTTH,1,782053,CA
130103,DOCSIS,0,216,CA
130103,Other,0,18537,CA
130127,DSL,0,540,CA
130189,DSL,0,8157,CA
130189,FTTH,0,1847,CA
130189,Other,0,3369,CA
130202,DOCSIS,0,372,CA
130228,DSL,0,3,CA
130235,DOCSIS,0,1045392,CA
130235,DOCSIS,1,18253891,CA
130258,DSL,0,8318529,CA
130258,FTTH,0,4683098,CA
130278,DOCSIS,0,29309,CA
130317,DOCSIS,0,10669,CA
130317,DOCSIS,1,11930089,CA
130335,DSL,0,226404,CA
130335,FTTH,0,402310,CA
130335,FTTH,1,34691,CA
130360,DOCSIS,1,3181046,CA
130360,FTTH,1,73608,CA
130370,DOCSIS,0,4961,CA
130370,DOCSIS,1,186358,CA
130509,DSL,0,1239,CA
130804,DOCSIS,1,159405,CA
130967,Other,0,361891,CA
130986,DOCSIS,0,14,CA
130986,DSL,0,14,CA
130986,FTTH,0,14,CA
131057,DSL,0,15669,CA
131057,FTTH,0,2550,CA
131173,DSL,0,29024,CA
131173,FTTH,0,25368,CA
131173,Other,0,34730,CA
131186,DSL,0,35711,CA
131186,FTTH,0,3093,CA
131195,DSL,0,5029,CA
131195,FTTH,0,2602,CA
131310,DSL,0,9570,CA
131400,DSL,0,73,CA
131400,Other,0,55986,CA
131404,DOCSIS,0,24065,CA
131404,Other,0,18498,CA
131416,DSL,0,2977,CA
131421,Other,0,35209,CA
131441,DOCSIS,0,12016,CA
131441,DSL,0,17074,CA
131441,FTTH,0,1128,CA
131441,Other,0,24403,CA
131454,DOCSIS,0,1361,CA
131454,DOCSIS,1,1048719,CA
131454,DSL,1,2309,CA
131473,Other,0,3787,CA
140048,Other,0,80,CA
150292,DOCSIS,0,40059,CA
160127,DSL,0,4508,CA
160127,Other,0,24575,CA
160141,DSL,0,1207,CA
160141,FTTH,0,5645,CA
160141,FTTH,1,204,CA
160141,Other,0,9227,CA
160157,DOCSIS,0,17750,CA
170098,DOCSIS,0,0,CA
190002,Other,0,181178,CA
190014,DSL,0,517147,CA
190075,DOCSIS,0,3714,CA
190107,DSL,0,211725,CA
190123,Other,0,275389,CA
190155,Other,0,540,CA
190172,DOCSIS,0,14574,CA
190192,DSL,0,490,CA
190311,Other,0,1314828,CA
190425,DSL,0,2996527,CA
190425,FTTH,1,194532,CA
200020,Other,0,999691,CA
200041,DSL,0,733032,CA
200057,Other,0,158,CA
220058,Other,0,9307,CA
220075,Other,0,8572,CA
240014,DOCSIS,0,13403,CA
240017,DOCSIS,0,214,CA
240017,Other,0,214,CA
240036,Other,0,2576,CA
240041,DSL,0,40083,CA
240041,DSL,1,53111,CA
240041,FTTH,1,4932,CA
240055,DOCSIS,0,1542,CA
240055,Other,0,320,CA
260007,FTTH,1,1611,CA
260052,Other,0,357592,CA
270006,Other,0,80986,CA
270018,Other,0,5940,CA
270020,Other,0,346086,CA
270051,Other,0,15713,CA
270073,Other,0,37222,CA
280024,Other,0,729,CA
280026,DOCSIS,0,972,CA
280042,Other,0,82593,CA
280057,Other,0,470364,CA
280075,Other,0,623,CA
280078,DOCSIS,0,2985,CA
290088,Other,0,42191,CA
290108,Other,0,2214,CA
290114,Other,0,1022,CA
290123,Other,0,619,CA
290123,Other,1,164,CA
290128,Other,0,364,CA
300043,Other,0,3024653,CA
300095,Other,0,34482,CA
300117,Other,0,10888,CA
300136,Other,0,325222,CA
300164,Other,0,384,CA
300173,Other,0,32272,CA
300199,Other,0,12290,CA
310015,DSL,0,3230,CA
310015,Other,0,190,CA
310015,Other,1,108739,CA
310027,Other,0,26429,CA
310065,Other,0,179731,CA
310067,Other,0,9260,CA
320031,Other,0,15,CA
320045,DOCSIS,1,79694,CA
320062,Other,0,11779,CA
320081,Other,0,10007,CA
320117,Other,0,936,CA
320121,DSL,0,1575579,CA
330003,Other,0,119958,CA
330032,FTTH,1,81,CA
330062,FTTH,1,20198,CA
330063,Other,0,99646,CA
330066,Other,0,8197,CA
340041,Other,0,31243,CA
340042,Other,0,404,CA
340045,Other,0,4370,CA
340066,Other,1,10316,CA
340071,Other,0,4172,CA
340076,FTTH,1,517771,CA
340085,Other,0,219989,CA
340093,Other,1,9,CA
340098,Other,0,3668275,CA
350005,Other,0,4988,CA
350030,Other,0,78,CA
350032,FTTH,1,28199,CA
350072,Other,0,6823,CA
350080,Other,0,110409,CA
350094,DSL,0,51635,CA
350095,Other,0,1593991,CA
350110,DOCSIS,0,3599,CA
350110,Other,0,240124,CA
350117,Other,0,14125,CA
350125,Other,0,35245,CA
350132,Other,0,13385,CA
350134,Other,0,452,CA
350135,Other,0,1982,CA
350136,Other,0,15552,CA
360126,Other,0,71,CA
130017,DSL,0,385,CO
130126,DSL,0,2295,CO
130126,FTTH,0,1080,CO
130126,Other,0,20351,CO
130127,DSL,0,9176,CO
130132,DSL,0,0,CO
130133,DSL,0,578,CO
130133,FTTH,0,283,CO
130133,FTTH,1,1129,CO
130133,Other,0,36953,CO
130228,DSL,0,4448951,CO
130228,DSL,1,125705,CO
130228,FTTH,0,60768,CO
130228,FTTH,1,391412,CO
130228,Other,0,456,CO
130235,DOCSIS,0,367498,CO
130317,DOCSIS,1,3867952,CO
130429,DOCSIS,0,3441,CO
130429,Other,0,6,CO
130439,DSL,0,11021,CO
130471,DSL,0,7071,CO
130471,Other,0,2485,CO
130487,DSL,0,849,CO
130487,FTTH,0,584,CO
130569,DSL,0,0,CO
130623,FTTH,0,68,CO
130663,Other,0,41119,CO
130674,DSL,0,2088,CO
130674,FTTH,0,113,CO
130692,DOCSIS,0,411,CO
130692,FTTH,1,6744,CO
130692,Other,0,54077,CO
130868,DOCSIS,0,1401,CO
130886,Other,0,160610,CO
130962,DSL,0,2327,CO
130962,FTTH,0,14,CO
130962,Other,0,254,CO
130963,DSL,0,16,CO
130963,FTTH,0,1875,CO
130986,DOCSIS,0,1236,CO
130986,DSL,0,2235,CO
130986,FTTH,0,1236,CO
131017,FTTH,0,2784,CO
131017,Other,0,353527,CO
131021,DSL,0,475,CO
131021,Other,0,2751,CO
131034,DOCSIS,0,5392,CO
131034,FTTH,1,3249,CO
131034,Other,0,3795,CO
131043,Other,0,12083,CO
131044,DSL,0,26,CO
131049,FTTH,0,2552,CO
131090,DSL,0,49,CO
131090,FTTH,0,11,CO
131090,Other,0,32,CO
131128,Other,0,10532,CO
131145,FTTH,1,108,CO
131265,FTTH,0,171,CO
131310,DOCSIS,0,59588,CO
131310,DOCSIS,1,50622,CO
131310,DSL,0,22271,CO
131310,FTTH,0,2609,CO
131310,FTTH,1,249,CO
131362,DSL,0,2825,CO
131404,DOCSIS,0,12214,CO
131404,FTTH,0,696,CO
131481,FTTH,0,9511,CO
131487,FTTH,0,189,CO
140048,Other,0,3221114,CO
150206,DOCSIS,0,5747,CO
150244,DOCSIS,0,354,CO
170098,DSL,0,0,CO
180026,Other,0,141,CO
190145,DOCSIS,0,6600,CO
190145,DSL,0,570,CO
190145,FTTH,0,3471,CO
190166,DSL,0,25393,CO
190166,DSL,1,259,CO
190166,FTTH,1,298,CO
190192,DSL,0,70253,CO
190313,DOCSIS,0,250,CO
190313,FTTH,0,1198,CO
190313,Other,0,34982,CO
190328,Other,0,18840,CO
200057,Other,0,5,CO
220012,Other,0,2219,CO
230043,FTTH,1,1736,CO
230043,Other,0,132454,CO
230054,Other,0,21893,CO
250092,Other,0,279,CO
270033,Other,0,2125472,CO
280014,FTTH,1,58523,CO
280068,Other,0,35623,CO
290008,Other,0,53415,CO
290051,Other,0,14573,CO
290092,Other,0,900,CO
290092,Other,1,57,CO
300037,Other,0,10071,CO
300078,Other,0,653321,CO
300147,Other,0,1739,CO
300164,Other,0,30,CO
300171,DSL,0,2790,CO
300171,Other,0,25,CO
300192,DSL,0,19518,CO
300192,FTTH,1,19518,CO
300192,Other,0,33978,CO
310019,Other,0,19898,CO
310024,DOCSIS,0,64479,CO
310024,DSL,0,64479,CO
310024,FTTH,0,64479,CO
310024,Other,0,64479,CO
310040,Other,0,187,CO
