HocoNum,HighSpeed,population,state
130068,0,23002,AL
130077,0,3132298,AL
130127,0,606,AL
130137,0,3099,AL
130159,0,107494,AL
130159,1,262218,AL
130183,0,110271,AL
130210,0,2615,AL
130228,0,651254,AL
130235,0,1758566,AL
130258,0,46302,AL
130317,1,809450,AL
130348,0,40930,AL
130418,0,14912,AL
130471,0,4622,AL
130587,0,595257,AL
130597,0,26684,AL
130804,0,56,AL
130804,1,473106,AL
130844,0,16157,AL
130851,0,4544,AL
130861,0,5993,AL
130902,0,12902,AL
131038,0,12367,AL
131086,0,3216,AL
131132,0,14718,AL
131302,0,294,AL
131310,0,56829,AL
131311,0,15437,AL
131352,0,116355,AL
131413,0,95712,AL
131480,0,630760,AL
131513,0,21,AL
150292,0,11068,AL
150296,0,65162,AL
160157,0,16595,AL
170086,0,831,AL
190016,0,4074,AL
190308,0,83932,AL
190341,0,0,AL
190367,0,38382,AL
190380,0,105275,AL
200068,0,427,AL
230029,0,19884,AL
230038,0,243,AL
230075,0,16221,AL
240020,0,9285,AL
240085,0,14570,AL
250020,0,7123,AL
250035,0,1719,AL
250035,1,343,AL
250046,0,27,AL
250087,0,964,AL
260000,0,85241,AL
270086,0,5708,AL
270086,1,89,AL
290028,1,26430,AL
310033,0,0,AL
310035,0,558,AL
130011,0,315,AK
130028,0,288704,AK
130029,0,14375,AK
130035,0,0,AK
130067,0,8139,AK
130077,0,386,AK
130160,0,1739,AK
130275,0,13459,AK
130349,0,6565,AK
130352,0,1962,AK
130534,0,77858,AK
130534,1,501277,AK
130791,0,115144,AK
130791,1,8641,AK
130964,0,2381,AK
131226,0,20778,AK
140084,0,12029,AK
150229,0,1539,AK
190019,0,52506,AK
190281,0,3247,AK
190417,0,1069,AK
260068,0,329,AK
260068,1,115,AK
300020,0,270998,AK
130081,0,82738,AZ
130103,0,60673,AZ
130132,0,290,AZ
130183,0,245378,AZ
130206,0,3031,AZ
130228,0,5307141,AZ
130228,1,5314,AZ
130258,0,220983,AZ
130258,1,789,AZ
130317,1,322831,AZ
130360,0,17190,AZ
130360,1,4199613,AZ
130418,0,162197,AZ
130509,0,5804,AZ
130542,0,5784,AZ
130627,0,23758,AZ
130653,0,5124,AZ
130653,1,9238,AZ
130804,0,3228,AZ
130804,1,145394,AZ
130831,0,7729,AZ
130986,0,64,AZ
131016,0,1443916,AZ
131057,0,10335,AZ
131148,0,0,AZ
131191,0,1010864,AZ
131208,0,5673,AZ
131219,0,1863,AZ
131269,0,170854,AZ
131269,1,114284,AZ
131308,0,0,AZ
131310,0,8232,AZ
131352,0,161192,AZ
131357,0,7870,AZ
131411,0,27959,AZ
131470,0,27041,AZ
140018,0,1989,AZ
140043,0,4986,AZ
150200,0,44,AZ
150200,1,11103,AZ
150286,0,315,AZ
150295,0,43018,AZ
150313,0,5,AZ
170054,0,1790,AZ
190008,0,824,AZ
190155,0,1859,AZ
190192,0,23,AZ
190276,0,13135,AZ
190428,0,8456,AZ
220013,0,18585,AZ
220074,0,144,AZ
230021,0,114,AZ
240009,0,90688,AZ
250009,0,297020,AZ
260050,0,129891,AZ
270022,0,60727,AZ
270101,0,50742,AZ
270115,0,798316,AZ
280026,0,12621,AZ
280035,0,5388,AZ
290057,0,3676,AZ
290083,0,4599,AZ
300019,0,15489,AZ
300063,0,3023649,AZ
300069,0,10,AZ
300171,0,107,AZ
310014,0,0,AZ
310084,0,5504,AZ
310084,1,0,AZ
130069,0,14898,AR
130070,0,11566,AR
130077,0,1556778,AR
130077,1,625,AR
130183,0,36326,AR
130224,0,8747,AR
130228,0,525371,AR
130317,1,371587,AR
130340,0,60799,AR
130360,1,578251,AR
130386,0,27063,AR
