HocoNum,HighSpeed,population
130002,0,38305
130005,0,93
130008,0,61570
130008,1,56343
130010,0,81428
130011,0,80
130012,0,19183
130012,1,56360
130017,0,385
130018,0,48291
130019,0,532896
130019,1,102445
130028,0,286173
130029,0,14375
130031,1,9650
130032,0,4850
130032,1,6451
130034,0,41155
130035,1,9333
130036,0,3322
130037,0,52725
130037,1,29029
130039,0,20773
130039,1,21797
130040,0,35185
130043,0,741
130044,0,38653
130045,0,11958
130046,0,1916
130057,0,35056
130057,1,717
130058,0,1607
130058,1,13867
130059,0,441480
130059,1,1457
130061,0,9792
130062,0,382681
130065,0,78352
130066,0,6772
130067,0,8139
130068,0,30905
130068,1,56744
130069,0,14839
130070,1,11660
130071,0,26177
130071,1,987986
130073,0,3728
130074,0,197819
130074,1,31613
130077,0,100288727
130077,1,25004109
130079,0,7043
130079,1,5486697
130081,0,387419
130082,0,11914
130082,1,78491
130083,0,1692
130084,0,1191
130086,0,44697
130086,1,215
130087,0,2747
130090,0,8176
130090,1,766
130092,0,3011
130093,0,30328
130094,0,12918
130095,0,18514
130096,0,1072
130097,0,145447
130098,0,129400
130098,1,12330
130103,0,61851
130104,0,17942
130105,0,23496
130107,0,5128
130108,1,27322
130112,0,111145
130112,1,8712
130114,0,19967
130115,0,27424
130116,0,2978017
130118,0,2101
130119,0,1032
130120,0,11236
130122,0,211950
130122,1,352
130123,0,39240
130123,1,3154
130124,0,76027
130126,0,23567
130127,0,44777
130130,1,43103
130132,0,82627
130132,1,4099
130133,0,36057
130133,1,4416
130134,0,3798
130136,0,18711
130136,1,11837
130137,1,821257
130138,1,7185
130139,0,4484
130140,0,5124
130140,1,10909
130141,0,4058
130142,0,33344
130142,1,16641
130144,0,18096
130146,0,671405
130148,0,3504
130149,1,34899
130150,0,43985
130150,1,104118
130151,1,18254
130152,0,16420
130152,1,420
130153,0,10297
130154,0,6093
130154,1,12660
130160,0,1739
130161,0,50619
130161,1,271
130168,0,8136
130169,0,3031
130170,0,3115
130171,0,1316
130175,0,69471
130176,0,58320
130176,1,66172
130178,0,238
130179,0,11089
130183,0,26318
130183,1,4319880
130184,1,22947
130189,0,8790
130189,1,2024
130192,0,7847
130192,1,2
130193,0,10382
130193,1,5308
130195,0,3072
