HocoNum,HighSpeed,population,state
150262,1,0,CA
150292,0,41852,CA
160127,0,26639,CA
160141,0,13433,CA
160141,1,2508,CA
160157,1,17864,CA
190002,0,181178,CA
190008,0,35,CA
190075,0,3714,CA
190107,0,211725,CA
190123,0,282681,CA
190155,0,1433,CA
190172,0,13916,CA
190192,0,490,CA
190311,0,1316602,CA
190425,0,2413595,CA
190425,1,441617,CA
200020,0,1088462,CA
200041,0,820487,CA
200057,0,158,CA
220002,0,2638,CA
220002,1,2,CA
220031,1,1305,CA
220058,0,9307,CA
220075,0,11100,CA
230021,0,533,CA
240014,0,13403,CA
240036,0,2576,CA
240041,0,39887,CA
240041,1,99574,CA
240055,0,302,CA
240055,1,1542,CA
260007,1,1503,CA
260050,0,92,CA
260052,0,22073,CA
260052,1,1417,CA
270006,0,80986,CA
270018,0,5623,CA
270020,0,538165,CA
270051,0,19273,CA
270073,0,37222,CA
280024,0,913,CA
280042,0,87142,CA
280057,0,469278,CA
280057,1,1086,CA
280075,0,623,CA
280078,0,2985,CA
290065,0,106,CA
290077,0,0,CA
290088,0,1072654,CA
290108,0,3485,CA
290114,0,1136,CA
290128,0,13890,CA
300043,0,3024653,CA
300095,0,4275,CA
300116,0,7,CA
300117,0,16483,CA
300136,0,325222,CA
300173,0,727,CA
300199,0,13841,CA
310015,0,8390,CA
310015,1,142524,CA
310027,0,26327,CA
310065,0,179731,CA
310067,0,7424,CA
310084,0,9072,CA
320045,1,79795,CA
320062,0,13266,CA
320081,0,9603,CA
320117,0,1162,CA
330003,0,119958,CA
330062,1,38095,CA
330066,0,10201,CA
340015,0,145,CA
340041,0,34812,CA
340042,0,408,CA
340045,0,4282,CA
340066,1,60576,CA
340071,0,4172,CA
340076,1,523446,CA
340085,0,6949,CA
340093,1,9,CA
340098,0,3777889,CA
350005,0,8290,CA
350030,0,156179,CA
350032,1,28222,CA
350033,0,24,CA
350041,0,2,CA
350072,0,7018,CA
350080,0,153659,CA
350094,0,54452,CA
350095,0,1593991,CA
350110,0,245279,CA
350117,0,16432,CA
350128,0,1453,CA
350132,0,40804,CA
350134,0,564,CA
360030,1,6032943,CA
360056,0,21292,CA
360061,0,231,CA
360078,0,640,CA
360094,0,11,CA
360119,0,71,CA
360132,0,57,CA
370023,0,163,CA
370028,0,7330,CA
370028,1,40759,CA
370082,0,22979,CA
370139,0,11287,CA
370151,0,38,CA
370151,1,49,CA
370163,0,15885,CA
380013,1,6054,CA
380030,0,5,CA
380039,0,4887,CA
380079,0,933,CA
380098,0,160060,CA
380158,0,950720,CA
380163,0,72,CA
130017,0,385,CO
130081,0,30754,CO
130126,0,23567,CO
130127,0,135,CO
130132,0,0,CO
130133,0,36057,CO
130133,1,4416,CO
130228,0,2982650,CO
130228,1,1740297,CO
130235,0,2328,CO
130235,1,366879,CO
130317,1,3881873,CO
130335,0,7274,CO
130429,0,3447,CO
130439,0,11021,CO
130487,0,1081,CO
130569,0,0,CO
130623,0,68,CO
130663,0,43656,CO
130674,0,2201,CO
130692,0,44321,CO
130692,1,10853,CO
130868,0,1401,CO
130886,0,157684,CO
130962,0,2628,CO
130963,0,1875,CO
130986,0,1562,CO
131017,0,422388,CO
131021,0,3226,CO
131034,0,4124,CO
131034,1,3249,CO
131043,0,12083,CO
131044,0,26,CO
131049,0,2552,CO
131090,0,92,CO
