HocoNum,HighSpeed,population
130002,0,44123
130005,0,93
130008,0,106197
130010,0,90924
130011,0,315
130012,0,141312
130012,1,20286
130017,0,347
130018,0,48291
130019,0,768175
130019,1,102445
130028,0,288704
130029,0,14375
130031,1,9502
130032,0,11202
130034,0,35241
130035,0,8728
130036,0,3514
130037,0,28354
130039,0,42570
130040,0,29952
130043,0,728
130044,0,38382
130045,0,13956
130046,0,1916
130057,0,35773
130058,0,12064
130059,0,452737
130061,0,6664
130062,0,394406
130065,0,78330
130066,0,5057
130067,0,8139
130068,0,30689
130069,0,14898
130070,0,11566
130071,0,951444
130073,0,3381
130074,0,198393
130074,1,26779
130077,0,123220386
130077,1,315911
130079,0,102327
130079,1,4841203
130081,0,185775
130081,1,80
130082,0,55586
130082,1,20755
130083,0,2127
130084,0,1191
130086,0,45017
130087,0,2506
130088,0,1322
130090,0,8919
130092,0,1995
130093,0,30152
130094,0,12918
130095,0,8781
130096,0,2411
130097,0,89501
130098,0,94679
130103,0,81967
130104,0,17908
130105,0,2003
130106,0,97
130106,1,3323
130107,0,5128
130108,1,22247
130112,0,102899
130114,0,17490
130115,0,27914
130116,0,2982031
130118,0,2101
130119,0,1032
130120,0,8646
130122,0,261788
130122,1,4282
130123,0,42217
130124,0,42545
130126,0,23535
130127,0,251945
130127,1,0
130130,1,33981
130132,0,54439
130133,0,34196
130134,0,3792
130136,0,30555
130137,0,259562
130137,1,550343
130138,0,710
130138,1,7080
130139,0,1619
130140,0,16033
130141,0,3469
130142,0,42312
130144,0,21076
130146,0,1403090
130148,0,3504
130149,0,45312
130150,0,148066
130151,0,17207
130152,0,12564
130153,0,10298
130154,0,6830
130154,1,12660
130159,0,159577
130159,1,7396570
130160,0,1739
130161,0,284110
130168,0,8136
130169,0,5013
130170,0,3115
130171,0,588
130175,0,69471
130176,0,70217
130178,0,69
130179,0,9605
130183,0,3270756
130184,0,22947
130189,0,10774
130192,0,4925
130193,0,9793
130195,0,3100
130196,0,12291
130196,1,14206
130199,0,8637
130201,0,3055
130202,0,49229
130203,0,2325
130204,0,4051
130206,0,37546
130207,0,1582
130208,0,61588
130210,0,2615
130218,0,364
130218,1,40819
130223,0,1369
130224,0,8747
130226,0,19760
130227,0,181203
130228,0,47671893
130228,1,681265
130231,0,64530
130233,0,2279
130234,0,42178
130235,0,26671194
130235,1,1977281
130237,0,16145
130238,0,8521
130239,0,28405
130239,1,10639
130240,0,10108
130241,0,15057
130242,0,127402
130243,0,5779
130244,0,81631
130245,0,70349
130250,0,4717
130251,0,6
130252,0,22641
130254,0,981466
130254,1,645501
130258,0,17157878
130258,1,1364583
130259,0,8697
130263,0,15912
130264,0,19427
130265,0,14983
130266,0,27836
130267,0,5380
130268,0,5639
