HocoNum,HighSpeed,population
130002,0,31586
130002,1,5339
130005,0,93
130008,0,80714
130008,1,37199
130010,0,90924
130011,0,313
130012,0,137564
130012,1,24034
130017,0,347
130018,0,48291
130019,0,768175
130019,1,102445
130028,0,288760
130029,0,14375
130031,1,9502
130032,0,11283
130034,0,35241
130035,0,8728
130036,0,3522
130037,0,37640
130039,0,42570
130040,0,29952
130043,0,728
130044,0,38382
130045,0,13956
130046,0,1916
130057,0,35773
130058,0,12064
130059,0,452737
130061,0,7393
130062,0,402704
130065,0,78330
130066,0,5264
130067,0,8139
130068,0,30689
130069,0,14898
130070,0,11566
130071,0,27527
130071,1,921740
130073,0,3357
130074,0,196373
130074,1,27242
130077,0,122639761
130077,1,1141735
130079,0,102828
130079,1,4845370
130081,0,327297
130081,1,668
130082,0,55586
130082,1,21035
130083,0,2127
130084,0,1191
130086,0,44909
130087,0,2506
130088,0,1335
130090,0,8903
130092,0,1995
130093,0,30152
130094,0,12918
130095,0,17209
130096,0,2604
130097,0,89501
130098,0,96232
130103,0,70013
130104,0,17420
130105,0,2003
130106,0,97
130106,1,3323
130107,0,5128
130108,1,22312
130112,0,102899
130114,0,17490
130115,0,27914
130116,0,2982031
130118,0,2101
130119,0,374
130119,1,658
130120,0,9221
130122,0,261440
130122,1,2387
130123,0,42217
130124,0,40701
130126,0,23535
130130,0,27592
130130,1,5
130132,0,54578
130133,0,33067
130133,1,1129
130134,0,3792
130136,0,30555
130137,0,259771
130137,1,548839
130138,0,710
130138,1,7080
130139,0,1621
130140,0,16033
130141,0,3469
130142,0,50266
130144,0,17986
130146,0,734145
130148,1,3504
130149,0,35180
130150,0,148066
130151,0,17292
130152,0,12564
130153,0,10298
130154,0,6830
130154,1,12660
130159,0,1096521
130159,1,7304348
130160,0,1739
130161,0,284110
130168,0,8136
130169,0,5029
130170,0,3115
130171,0,420
130175,0,69471
130176,0,70217
130178,0,234
130179,0,9605
130183,0,3332069
130184,0,22947
130189,0,10774
130192,0,4925
130193,0,9793
130195,0,3100
130196,0,11212
130196,1,18020
130199,0,7161
130201,0,3055
130202,0,49435
130203,0,2325
130204,0,4051
130206,0,37259
130207,0,1584
130208,0,61588
130210,0,2615
130218,0,791
130218,1,40819
130223,0,1114
130224,0,8747
130224,1,0
130226,0,19751
130227,0,183548
130228,0,46872606
130228,1,1577038
130233,0,2279
130234,0,87067
130235,0,25801416
130235,1,2954282
130237,0,16145
130238,0,8521
130239,0,28405
130239,1,10639
130240,0,10108
130241,0,15057
130242,0,128436
130243,0,5779
130244,0,81631
130245,0,70349
130250,0,4717
130251,0,6
130252,0,22573
130254,0,1104026
130254,1,806009
130258,0,16265681
130258,1,1342279
130259,0,8697
130263,0,15912
130264,0,19427
130265,0,14934
130266,0,28176
130267,0,5380
130268,0,5639
130269,0,11330
130270,0,4526
130271,0,22010
130272,0,10027
130274,0,422
130275,0,13459
130279,0,128306
130281,0,30258
130282,0,25738
